Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Yuzvendra Chahal,Travis Head,Abhishek Sharma,0,0,,,,,0,0
1,0,2,Yuzvendra Chahal,Travis Head,Abhishek Sharma,0,1,noball,,,,1,0
1,0,2,Yuzvendra Chahal,Travis Head,Abhishek Sharma,0,0,,,,,1,0
1,0,3,Yuzvendra Chahal,Travis Head,Abhishek Sharma,1,0,,,,,2,0
1,0,4,Yuzvendra Chahal,Abhishek Sharma,Travis Head,0,0,,,,,2,0
1,0,5,Yuzvendra Chahal,Abhishek Sharma,Travis Head,1,0,,,,,3,0
1,0,6,Yuzvendra Chahal,Travis Head,Abhishek Sharma,0,0,,,,,3,0
1,1,1,Trent Boult,Abhishek Sharma,Travis Head,0,0,,,,,3,0
1,1,2,Trent Boult,Abhishek Sharma,Travis Head,0,0,,,,,3,0
1,1,3,Trent Boult,Abhishek Sharma,Travis Head,0,0,,,,,3,0
1,1,4,Trent Boult,Abhishek Sharma,Travis Head,0,0,,,,,3,0
1,1,5,Trent Boult,Abhishek Sharma,Travis Head,3,0,,,,,6,0
1,1,6,Trent Boult,Travis Head,Abhishek Sharma,4,0,,,,,10,0
1,2,1,Trent Boult,Abhishek Sharma,Travis Head,0,0,,,,,10,0
1,2,2,Trent Boult,Abhishek Sharma,Travis Head,4,0,,,,,14,0
1,2,3,Trent Boult,Abhishek Sharma,Travis Head,3,0,,,,,17,0
1,2,4,Trent Boult,Travis Head,Abhishek Sharma,6,0,,,,,23,0
1,2,5,Trent Boult,Travis Head,Abhishek Sharma,0,0,,,,,23,0
1,2,6,Trent Boult,Travis Head,Abhishek Sharma,0,0,,,,,23,0
1,3,1,Avesh Khan,Abhishek Sharma,Travis Head,1,0,,,,,24,0
1,3,2,Avesh Khan,Travis Head,Abhishek Sharma,1,0,,,,,25,0
1,3,3,Avesh Khan,Abhishek Sharma,Travis Head,0,0,,,,,25,0
1,3,4,Avesh Khan,Abhishek Sharma,Travis Head,1,0,,,,,26,0
1,3,5,Avesh Khan,Travis Head,Abhishek Sharma,1,0,,,,,27,0
1,3,6,Avesh Khan,Abhishek Sharma,Travis Head,1,0,,,,,28,0
1,4,1,Avesh Khan,Abhishek Sharma,Travis Head,6,0,,,,,34,0
1,4,2,Avesh Khan,Abhishek Sharma,Travis Head,2,0,,,,,36,0
1,4,3,Avesh Khan,Abhishek Sharma,Travis Head,0,0,,,,,36,0
