Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Venkatesh Iyer,KL Rahul,Quinton de Kock,3,0,,,,,3,0
1,0,2,Venkatesh Iyer,Quinton de Kock,KL Rahul,0,0,,caught,Quinton de Kock,Dinesh Karthik,3,1
1,0,3,Venkatesh Iyer,Nicholas Pooran,KL Rahul,0,0,,,,,3,1
1,0,4,Venkatesh Iyer,Nicholas Pooran,KL Rahul,2,0,,,,,5,1
1,0,5,Venkatesh Iyer,Nicholas Pooran,KL Rahul,1,0,,,,,6,1
1,0,6,Venkatesh Iyer,KL Rahul,Nicholas Pooran,2,0,,,,,8,1
1,1,1,Rasikh Salam,Nicholas Pooran,KL Rahul,4,0,,,,,12,1
1,1,2,Rasikh Salam,Nicholas Pooran,KL Rahul,0,1,bye,,,,13,1
1,1,3,Rasikh Salam,Nicholas Pooran,KL Rahul,0,1,noball,,,,14,1
1,1,3,Rasikh Salam,Nicholas Pooran,KL Rahul,2,0,,,,,16,1
1,1,4,Rasikh Salam,Nicholas Pooran,KL Rahul,0,0,,,,,16,1
1,1,5,Rasikh Salam,Nicholas Pooran,KL Rahul,1,0,,,,,17,1
1,1,6,Rasikh Salam,KL Rahul,Nicholas Pooran,0,1,legbye,,,,18,1
1,2,1,Venkatesh Iyer,Nicholas Pooran,KL Rahul,0,1,noball,,,,19,1
1,2,1,Venkatesh Iyer,Nicholas Pooran,KL Rahul,0,0,,,,,19,1
1,2,2,Venkatesh Iyer,Nicholas Pooran,KL Rahul,2,0,,,,,21,1
1,2,3,Venkatesh Iyer,Nicholas Pooran,KL Rahul,4,0,,,,,25,1
1,2,4,Venkatesh Iyer,Nicholas Pooran,KL Rahul,2,0,,,,,27,1
1,2,5,Venkatesh Iyer,Nicholas Pooran,KL Rahul,4,0,,,,,31,1
1,2,6,Venkatesh Iyer,Nicholas Pooran,KL Rahul,1,0,,,,,32,1
1,3,1,Krunal Pandya,Nicholas Pooran,KL Rahul,2,0,,,,,34,1
1,3,2,Krunal Pandya,Nicholas Pooran,KL Rahul,0,1,wide,,,,35,1
1,3,2,Krunal Pandya,Nicholas Pooran,KL Rahul,0,0,,,,,35,1
1,3,3,Krunal Pandya,Nicholas Pooran,KL Rahul,0,0,,,,,35,1
1,3,4,Krunal Pandya,Nicholas Pooran,KL Rahul,0,0,,,,,35,1
1,3,5,Krunal Pandya,Nicholas Pooran,KL Rahul,0,0,,stumped,Nicholas Pooran,Devdutt Padikkal,35,2
1,3,6,Krunal Pandya,Marcus Stoinis,KL Rahul,1,0,,,,,36,2
1,4,1,Krunal Pandya,Marcus Stoinis,KL Rahul,6,0,,,,,42,2
1,4,2,Krunal Pandya,Marcus Stoinis,KL Rahul,0,0,,,,,42,2
1,4,3,Krunal Pandya,Marcus Stoinis,KL Rahul,0,0,,,,,42,2
1,4,4,Krunal Pandya,Marcus Stoinis,KL Rahul,2,0,,,,,44,2
1,4,5,Krunal Pandya,Marcus Stoinis,KL Rahul,4,0,,,,,48,2
1,4,6,Krunal Pandya,Marcus Stoinis,KL Rahul,0,0,,,,,48,2
1,5,1,Venkatesh Iyer,KL Rahul,Marcus Stoinis,0,0,,caught,KL Rahul,Tim David,48,3
1,5,2,Venkatesh Iyer,Ayush Badoni,Marcus Stoinis,0,0,,,,,48,3
1,5,3,Venkatesh Iyer,Ayush Badoni,Marcus Stoinis,6,0,,,,,54,3
