Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Bhuvneshwar Kumar,Ruturaj Gaikwad,Rachin Ravindra,1,0,,,,,1,0
1,0,2,Bhuvneshwar Kumar,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,1,0
1,0,3,Bhuvneshwar Kumar,Rachin Ravindra,Ruturaj Gaikwad,1,0,,,,,2,0
1,0,4,Bhuvneshwar Kumar,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,2,0
1,0,5,Bhuvneshwar Kumar,Ruturaj Gaikwad,Rachin Ravindra,6,0,,,,,8,0
1,0,6,Bhuvneshwar Kumar,Ruturaj Gaikwad,Rachin Ravindra,4,0,,,,,12,0
1,1,1,Venkatesh Iyer,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,12,0
1,1,2,Venkatesh Iyer,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,12,0
1,1,3,Venkatesh Iyer,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,12,0
1,1,4,Venkatesh Iyer,Rachin Ravindra,Ruturaj Gaikwad,4,0,,,,,16,0
1,1,5,Venkatesh Iyer,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,16,0
1,1,6,Venkatesh Iyer,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,16,0
1,2,1,Krunal Pandya,Ruturaj Gaikwad,Rachin Ravindra,3,0,,,,,19,0
1,2,2,Krunal Pandya,Rachin Ravindra,Ruturaj Gaikwad,1,0,,,,,20,0
1,2,3,Krunal Pandya,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,20,0
1,2,4,Krunal Pandya,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,20,0
1,2,5,Krunal Pandya,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,20,0
1,2,6,Krunal Pandya,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,20,0
1,3,1,Rasikh Salam,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,20,0
1,3,2,Rasikh Salam,Rachin Ravindra,Ruturaj Gaikwad,1,0,,,,,21,0
1,3,3,Rasikh Salam,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,21,0
1,3,4,Rasikh Salam,Ruturaj Gaikwad,Rachin Ravindra,0,0,,stumped,Ruturaj Gaikwad,Krunal Pandya,21,1
1,3,5,Rasikh Salam,Shivam Dube,Rachin Ravindra,3,0,,,,,24,1
1,3,6,Rasikh Salam,Rachin Ravindra,Shivam Dube,2,0,,,,,26,1
1,4,1,Bhuvneshwar Kumar,Shivam Dube,Rachin Ravindra,1,0,,,,,27,1
1,4,2,Bhuvneshwar Kumar,Rachin Ravindra,Shivam Dube,2,0,,,,,29,1
1,4,3,Bhuvneshwar Kumar,Rachin Ravindra,Shivam Dube,1,0,,,,,30,1
1,4,4,Bhuvneshwar Kumar,Shivam Dube,Rachin Ravindra,0,0,,,,,30,1
1,4,5,Bhuvneshwar Kumar,Shivam Dube,Rachin Ravindra,4,0,,,,,34,1
1,4,6,Bhuvneshwar Kumar,Shivam Dube,Rachin Ravindra,3,0,,,,,37,1
1,5,1,Rasikh Salam,Shivam Dube,Rachin Ravindra,0,0,,stumped,Shivam Dube,Dinesh Karthik,37,2
1,5,2,Rasikh Salam,Ravindra Jadeja,Rachin Ravindra,0,0,,,,,37,2
1,5,3,Rasikh Salam,Ravindra Jadeja,Rachin Ravindra,0,0,,,,,37,2
1,5,4,Rasikh Salam,Ravindra Jadeja,Rachin Ravindra,0,0,,,,,37,2
1,5,5,Rasikh Salam,Ravindra Jadeja,Rachin Ravindra,2,0,,,,,39,2
1,5,6,Rasikh Salam,Ravindra Jadeja,Rachin Ravindra,6,0,,,,,45,2
1,6,1,Bhuvneshwar Kumar,Rachin Ravindra,Ravindra Jadeja,2,0,,,,,47,2
1,6,2,Bhuvneshwar Kumar,Rachin Ravindra,Ravindra Jadeja,3,0,,,,,50,2
1,6,3,Bhuvneshwar Kumar,Ravindra Jadeja,Rachin Ravindra,0,0,,,,,50,2
1,6,4,Bhuvneshwar Kumar,Ravindra Jadeja,Rachin Ravindra,0,0,,lbw,Ravindra Jadeja,Jitesh Sharma,50,3
1,6,5,Bhuvneshwar Kumar,MS Dhoni,Rachin Ravindra,1,0,,,,,51,3
1,6,6,Bhuvneshwar Kumar,Rachin Ravindra,MS Dhoni,1,0,,,,,52,3
1,7,1,Josh Hazlewood,Rachin Ravindra,MS Dhoni,2,0,,,,,54,3
1,7,2,Josh Hazlewood,Rachin Ravindra,MS Dhoni,3,0,,,,,57,3
1,7,3,Josh Hazlewood,MS Dhoni,Rachin Ravindra,0,0,,run out,MS Dhoni,Tim David,57,4
1,7,4,Josh Hazlewood,Sameer Rizvi,Rachin Ravindra,1,0,,,,,58,4
1,7,5,Josh Hazlewood,Rachin Ravindra,Sameer Rizvi,0,1,noball,,,,59,4
1,7,5,Josh Hazlewood,Rachin Ravindra,Sameer Rizvi,4,0,,,,,63,4
1,7,6,Josh Hazlewood,Rachin Ravindra,Sameer Rizvi,6,0,,,,,69,4
1,8,1,Josh Hazlewood,Sameer Rizvi,Rachin Ravindra,0,0,,,,,69,4
1,8,2,Josh Hazlewood,Sameer Rizvi,Rachin Ravindra,2,0,,,,,71,4
1,8,3,Josh Hazlewood,Sameer Rizvi,Rachin Ravindra,0,1,wide,,,,72,4
1,8,3,Josh Hazlewood,Sameer Rizvi,Rachin Ravindra,1,0,,,,,73,4
1,8,4,Josh Hazlewood,Rachin Ravindra,Sameer Rizvi,2,0,,,,,75,4
1,8,5,Josh Hazlewood,Rachin Ravindra,Sameer Rizvi,4,0,,,,,79,4
1,8,6,Josh Hazlewood,Rachin Ravindra,Sameer Rizvi,1,0,,,,,80,4
1,9,1,Josh Hazlewood,Rachin Ravindra,Sameer Rizvi,1,0,,,,,81,4
1,9,2,Josh Hazlewood,Sameer Rizvi,Rachin Ravindra,3,0,,,,,84,4
1,9,3,Josh Hazlewood,Rachin Ravindra,Sameer Rizvi,4,0,,,,,88,4
1,9,4,Josh Hazlewood,Rachin Ravindra,Sameer Rizvi,4,0,,,,,92,4
1,9,5,Josh Hazlewood,Rachin Ravindra,Sameer Rizvi,1,0,,,,,93,4
1,9,6,Josh Hazlewood,Sameer Rizvi,Rachin Ravindra,2,0,,,,,95,4
1,10,1,Krunal Pandya,Rachin Ravindra,Sameer Rizvi,1,0,,,,,96,4
1,10,2,Krunal Pandya,Sameer Rizvi,Rachin Ravindra,0,0,,,,,96,4
1,10,3,Krunal Pandya,Sameer Rizvi,Rachin Ravindra,1,0,,,,,97,4
1,10,4,Krunal Pandya,Rachin Ravindra,Sameer Rizvi,4,0,,,,,101,4
1,10,5,Krunal Pandya,Rachin Ravindra,Sameer Rizvi,3,0,,,,,104,4
1,10,6,Krunal Pandya,Sameer Rizvi,Rachin Ravindra,1,0,,,,,105,4
1,11,1,Krunal Pandya,Sameer Rizvi,Rachin Ravindra,0,0,,,,,105,4
1,11,2,Krunal Pandya,Sameer Rizvi,Rachin Ravindra,0,0,,,,,105,4
1,11,3,Krunal Pandya,Sameer Rizvi,Rachin Ravindra,0,0,,,,,105,4
1,11,4,Krunal Pandya,Sameer Rizvi,Rachin Ravindra,0,1,wide,,,,106,4
1,11,4,Krunal Pandya,Sameer Rizvi,Rachin Ravindra,4,0,,,,,110,4
1,11,5,Krunal Pandya,Sameer Rizvi,Rachin Ravindra,4,0,,,,,114,4
1,11,6,Krunal Pandya,Sameer Rizvi,Rachin Ravindra,0,0,,,,,114,4
1,12,1,Bhuvneshwar Kumar,Rachin Ravindra,Sameer Rizvi,0,0,,,,,114,4
1,12,2,Bhuvneshwar Kumar,Rachin Ravindra,Sameer Rizvi,0,0,,bowled,Rachin Ravindra,Jitesh Sharma,114,5
1,12,3,Bhuvneshwar Kumar,Moeen Ali,Sameer Rizvi,4,0,,,,,118,5
1,12,4,Bhuvneshwar Kumar,Moeen Ali,Sameer Rizvi,4,0,,,,,122,5
1,12,5,Bhuvneshwar Kumar,Moeen Ali,Sameer Rizvi,0,0,,,,,122,5
1,12,6,Bhuvneshwar Kumar,Moeen Ali,Sameer Rizvi,4,0,,,,,126,5
1,13,1,Bhuvneshwar Kumar,Sameer Rizvi,Moeen Ali,6,0,,,,,132,5
1,13,2,Bhuvneshwar Kumar,Sameer Rizvi,Moeen Ali,0,0,,,,,132,5
1,13,3,Bhuvneshwar Kumar,Sameer Rizvi,Moeen Ali,6,0,,,,,138,5
1,13,4,Bhuvneshwar Kumar,Sameer Rizvi,Moeen Ali,1,0,,,,,139,5
1,13,5,Bhuvneshwar Kumar,Moeen Ali,Sameer Rizvi,2,0,,,,,141,5
1,13,6,Bhuvneshwar Kumar,Moeen Ali,Sameer Rizvi,0,1,legbye,,,,142,5
1,14,1,Josh Hazlewood,Sameer Rizvi,Moeen Ali,0,0,,,,,142,5
1,14,2,Josh Hazlewood,Sameer Rizvi,Moeen Ali,0,0,,,,,142,5
1,14,3,Josh Hazlewood,Sameer Rizvi,Moeen Ali,4,0,,,,,146,5
1,14,4,Josh Hazlewood,Sameer Rizvi,Moeen Ali,0,1,legbye,,,,147,5
1,14,5,Josh Hazlewood,Sameer Rizvi,Moeen Ali,2,0,,,,,149,5
1,14,6,Josh Hazlewood,Sameer Rizvi,Moeen Ali,3,0,,,,,152,5
1,15,1,Josh Hazlewood,Sameer Rizvi,Moeen Ali,1,0,,,,,153,5
1,15,2,Josh Hazlewood,Moeen Ali,Sameer Rizvi,2,0,,,,,155,5
1,15,3,Josh Hazlewood,Moeen Ali,Sameer Rizvi,0,0,,,,,155,5
1,15,4,Josh Hazlewood,Moeen Ali,Sameer Rizvi,1,0,,,,,156,5
1,15,5,Josh Hazlewood,Sameer Rizvi,Moeen Ali,6,0,,,,,162,5
1,15,6,Josh Hazlewood,Sameer Rizvi,Moeen Ali,0,0,,,,,162,5
1,16,1,Venkatesh Iyer,Moeen Ali,Sameer Rizvi,0,0,,,,,162,5
1,16,2,Venkatesh Iyer,Moeen Ali,Sameer Rizvi,4,0,,,,,166,5
1,16,3,Venkatesh Iyer,Moeen Ali,Sameer Rizvi,0,0,,,,,166,5
1,16,4,Venkatesh Iyer,Moeen Ali,Sameer Rizvi,0,0,,,,,166,5
1,16,5,Venkatesh Iyer,Moeen Ali,Sameer Rizvi,0,0,,,,,166,5
1,16,6,Venkatesh Iyer,Moeen Ali,Sameer Rizvi,6,0,,,,,172,5
1,17,1,Venkatesh Iyer,Sameer Rizvi,Moeen Ali,1,0,,,,,173,5
1,17,2,Venkatesh Iyer,Moeen Ali,Sameer Rizvi,6,0,,,,,179,5
1,17,3,Venkatesh Iyer,Moeen Ali,Sameer Rizvi,3,0,,,,,182,5
1,17,4,Venkatesh Iyer,Sameer Rizvi,Moeen Ali,0,0,,,,,182,5
1,17,5,Venkatesh Iyer,Sameer Rizvi,Moeen Ali,2,0,,,,,184,5
1,17,6,Venkatesh Iyer,Sameer Rizvi,Moeen Ali,2,0,,,,,186,5
1,18,1,Venkatesh Iyer,Moeen Ali,Sameer Rizvi,0,0,,,,,186,5
1,18,2,Venkatesh Iyer,Moeen Ali,Sameer Rizvi,0,0,,,,,186,5
1,18,3,Venkatesh Iyer,Moeen Ali,Sameer Rizvi,1,0,,,,,187,5
1,18,4,Venkatesh Iyer,Sameer Rizvi,Moeen Ali,0,1,bye,,,,188,5
1,18,5,Venkatesh Iyer,Sameer Rizvi,Moeen Ali,0,0,,,,,188,5
1,18,6,Venkatesh Iyer,Sameer Rizvi,Moeen Ali,3,0,,,,,191,5
