Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Yash Thakur,Rohit Sharma,Ishan Kishan,0,0,,caught,Rohit Sharma,Ayush Badoni,0,1
1,0,2,Yash Thakur,Suryakumar Yadav,Ishan Kishan,0,1,bye,,,,1,1
1,0,3,Yash Thakur,Suryakumar Yadav,Ishan Kishan,0,0,,,,,1,1
1,0,4,Yash Thakur,Suryakumar Yadav,Ishan Kishan,1,0,,,,,2,1
1,0,5,Yash Thakur,Ishan Kishan,Suryakumar Yadav,1,0,,,,,3,1
1,0,6,Yash Thakur,Suryakumar Yadav,Ishan Kishan,3,0,,,,,6,1
1,1,1,Naveen-ul-Haq,Suryakumar Yadav,Ishan Kishan,0,0,,,,,6,1
1,1,2,Naveen-ul-Haq,Suryakumar Yadav,Ishan Kishan,0,0,,stumped,Suryakumar Yadav,Quinton de Kock,6,2
1,1,3,Naveen-ul-Haq,Hardik Pandya,Ishan Kishan,1,0,,,,,7,2
1,1,4,Naveen-ul-Haq,Ishan Kishan,Hardik Pandya,4,0,,,,,11,2
1,1,5,Naveen-ul-Haq,Ishan Kishan,Hardik Pandya,4,0,,,,,15,2
1,1,6,Naveen-ul-Haq,Ishan Kishan,Hardik Pandya,0,0,,stumped,Ishan Kishan,Deepak Hooda,15,3
1,2,1,Ravi Bishnoi,Hardik Pandya,Tilak Varma,2,0,,,,,17,3
1,2,2,Ravi Bishnoi,Hardik Pandya,Tilak Varma,0,0,,,,,17,3
1,2,3,Ravi Bishnoi,Hardik Pandya,Tilak Varma,0,0,,run out,Tilak Varma,Ayush Badoni,17,4
1,2,4,Ravi Bishnoi,Hardik Pandya,Naman Dhir,0,0,,,,,17,4
1,2,5,Ravi Bishnoi,Hardik Pandya,Naman Dhir,0,0,,,,,17,4
1,2,6,Ravi Bishnoi,Hardik Pandya,Naman Dhir,4,0,,,,,21,4
1,3,1,Marcus Stoinis,Naman Dhir,Hardik Pandya,0,0,,,,,21,4
1,3,2,Marcus Stoinis,Naman Dhir,Hardik Pandya,0,0,,,,,21,4
1,3,3,Marcus Stoinis,Naman Dhir,Hardik Pandya,4,0,,,,,25,4
1,3,4,Marcus Stoinis,Naman Dhir,Hardik Pandya,0,0,,,,,25,4
1,3,5,Marcus Stoinis,Naman Dhir,Hardik Pandya,3,0,,,,,28,4
1,3,6,Marcus Stoinis,Hardik Pandya,Naman Dhir,4,0,,,,,32,4
1,4,1,Ravi Bishnoi,Naman Dhir,Hardik Pandya,0,0,,lbw,Naman Dhir,Ayush Badoni,32,5
1,4,2,Ravi Bishnoi,Romario Shepherd,Hardik Pandya,1,0,,,,,33,5
1,4,3,Ravi Bishnoi,Hardik Pandya,Romario Shepherd,0,0,,,,,33,5
1,4,4,Ravi Bishnoi,Hardik Pandya,Romario Shepherd,0,0,,,,,33,5
1,4,5,Ravi Bishnoi,Hardik Pandya,Romario Shepherd,1,0,,,,,34,5
1,4,6,Ravi Bishnoi,Romario Shepherd,Hardik Pandya,4,0,,,,,38,5
1,5,1,Ravi Bishnoi,Hardik Pandya,Romario Shepherd,0,0,,,,,38,5
1,5,2,Ravi Bishnoi,Hardik Pandya,Romario Shepherd,4,0,,,,,42,5
1,5,3,Ravi Bishnoi,Hardik Pandya,Romario Shepherd,0,0,,,,,42,5
1,5,4,Ravi Bishnoi,Hardik Pandya,Romario Shepherd,3,0,,,,,45,5
1,5,5,Ravi Bishnoi,Romario Shepherd,Hardik Pandya,0,0,,,,,45,5
1,5,6,Ravi Bishnoi,Romario Shepherd,Hardik Pandya,2,0,,,,,47,5
1,6,1,Naveen-ul-Haq,Hardik Pandya,Romario Shepherd,1,0,,,,,48,5
1,6,2,Naveen-ul-Haq,Romario Shepherd,Hardik Pandya,0,0,,,,,48,5
1,6,3,Naveen-ul-Haq,Romario Shepherd,Hardik Pandya,0,0,,,,,48,5
1,6,4,Naveen-ul-Haq,Romario Shepherd,Hardik Pandya,0,0,,bowled,Romario Shepherd,Marcus Stoinis,48,6
1,6,5,Naveen-ul-Haq,Tim David,Hardik Pandya,0,0,,lbw,Tim David,KL Rahul,48,7
1,7,1,Mohsin Khan,Hardik Pandya,Tim David,1,0,,,,,49,7
1,7,2,Mohsin Khan,Tim David,Hardik Pandya,4,0,,,,,53,7
1,7,3,Mohsin Khan,Tim David,Hardik Pandya,3,0,,,,,56,7
1,7,4,Mohsin Khan,Hardik Pandya,Tim David,0,0,,,,,56,7
1,7,5,Mohsin Khan,Hardik Pandya,Tim David,0,0,,,,,56,7
1,7,6,Mohsin Khan,Hardik Pandya,Tim David,2,0,,,,,58,7
1,8,1,Mohsin Khan,Tim David,Hardik Pandya,0,1,wide,,,,59,7
1,8,1,Mohsin Khan,Tim David,Hardik Pandya,2,0,,,,,61,7
1,8,2,Mohsin Khan,Tim David,Hardik Pandya,1,0,,,,,62,7
1,8,3,Mohsin Khan,Hardik Pandya,Tim David,4,0,,,,,66,7
1,8,4,Mohsin Khan,Hardik Pandya,Tim David,3,0,,,,,69,7
1,8,5,Mohsin Khan,Tim David,Hardik Pandya,1,0,,,,,70,7
1,8,6,Mohsin Khan,Hardik Pandya,Tim David,0,0,,,,,70,7
1,9,1,Mohsin Khan,Tim David,Hardik Pandya,3,0,,,,,73,7
1,9,2,Mohsin Khan,Hardik Pandya,Tim David,2,0,,,,,75,7
1,9,3,Mohsin Khan,Hardik Pandya,Tim David,0,0,,,,,75,7
1,9,4,Mohsin Khan,Hardik Pandya,Tim David,0,0,,,,,75,7
1,9,5,Mohsin Khan,Hardik Pandya,Tim David,6,0,,,,,81,7
1,9,6,Mohsin Khan,Hardik Pandya,Tim David,2,0,,,,,83,7
1,10,1,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,83,7
1,10,2,Yash Thakur,Tim David,Hardik Pandya,1,0,,,,,84,7
1,10,3,Yash Thakur,Hardik Pandya,Tim David,1,0,,,,,85,7
1,10,4,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,85,7
1,10,5,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,85,7
1,10,6,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,85,7
1,11,1,Marcus Stoinis,Hardik Pandya,Tim David,3,0,,,,,88,7
1,11,2,Marcus Stoinis,Tim David,Hardik Pandya,4,0,,,,,92,7
1,11,3,Marcus Stoinis,Tim David,Hardik Pandya,4,0,,,,,96,7
1,11,4,Marcus Stoinis,Tim David,Hardik Pandya,0,0,,,,,96,7
1,11,5,Marcus Stoinis,Tim David,Hardik Pandya,0,0,,bowled,Tim David,Marcus Stoinis,96,8
1,12,1,Naveen-ul-Haq,Hardik Pandya,Tim David,1,0,,,,,97,8
1,12,2,Naveen-ul-Haq,Tim David,Hardik Pandya,0,0,,,,,97,8
1,12,3,Naveen-ul-Haq,Tim David,Hardik Pandya,3,0,,,,,100,8
1,12,4,Naveen-ul-Haq,Hardik Pandya,Tim David,0,0,,,,,100,8
1,12,5,Naveen-ul-Haq,Hardik Pandya,Tim David,2,0,,,,,102,8
1,12,6,Naveen-ul-Haq,Hardik Pandya,Tim David,0,0,,,,,102,8
1,13,1,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,102,8
1,13,2,Yash Thakur,Tim David,Hardik Pandya,6,0,,,,,108,8
1,13,3,Yash Thakur,Tim David,Hardik Pandya,6,0,,,,,114,8
1,13,4,Yash Thakur,Tim David,Hardik Pandya,1,0,,,,,115,8
1,13,5,Yash Thakur,Hardik Pandya,Tim David,0,0,,,,,115,8
1,13,6,Yash Thakur,Hardik Pandya,Tim David,1,0,,,,,116,8
1,14,1,Naveen-ul-Haq,Hardik Pandya,Tim David,2,0,,,,,118,8
1,14,2,Naveen-ul-Haq,Hardik Pandya,Tim David,3,0,,,,,121,8
1,14,3,Naveen-ul-Haq,Tim David,Hardik Pandya,0,0,,,,,121,8
1,14,4,Naveen-ul-Haq,Tim David,Hardik Pandya,0,0,,,,,121,8
1,14,5,Naveen-ul-Haq,Tim David,Hardik Pandya,0,0,,,,,121,8
1,14,6,Naveen-ul-Haq,Tim David,Hardik Pandya,0,0,,,,,121,8
1,15,1,Yash Thakur,Hardik Pandya,Tim David,6,0,,,,,127,8
1,15,2,Yash Thakur,Hardik Pandya,Tim David,1,0,,,,,128,8
1,15,3,Yash Thakur,Tim David,Hardik Pandya,2,0,,,,,130,8
1,15,4,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,130,8
1,15,5,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,130,8
1,15,6,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,130,8
1,16,1,Yash Thakur,Hardik Pandya,Tim David,2,0,,,,,132,8
1,16,2,Yash Thakur,Hardik Pandya,Tim David,2,0,,,,,134,8
1,16,3,Yash Thakur,Hardik Pandya,Tim David,1,0,,,,,135,8
1,16,4,Yash Thakur,Tim David,Hardik Pandya,4,0,,,,,139,8
1,16,5,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,139,8
1,16,6,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,139,8
1,17,1,Mohsin Khan,Hardik Pandya,Tim David,3,0,,,,,142,8
1,17,2,Mohsin Khan,Tim David,Hardik Pandya,0,0,,,,,142,8
1,17,3,Mohsin Khan,Tim David,Hardik Pandya,2,0,,,,,144,8
1,17,4,Mohsin Khan,Tim David,Hardik Pandya,1,0,,,,,145,8
1,17,5,Mohsin Khan,Hardik Pandya,Tim David,2,0,,,,,147,8
1,17,6,Mohsin Khan,Hardik Pandya,Tim David,3,0,,,,,150,8
1,18,1,Yash Thakur,Hardik Pandya,Tim David,1,0,,,,,151,8
1,18,2,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,151,8
1,18,3,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,151,8
1,18,4,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,151,8
1,18,5,Yash Thakur,Tim David,Hardik Pandya,2,0,,,,,153,8
1,18,6,Yash Thakur,Tim David,Hardik Pandya,0,0,,,,,153,8
1,19,1,Naveen-ul-Haq,Hardik Pandya,Tim David,0,0,,lbw,Hardik Pandya,Deepak Hooda,153,9
2,0,1,Piyush Chawla,KL Rahul,Quinton de Kock,1,0,,,,,1,0
2,0,2,Piyush Chawla,Quinton de Kock,KL Rahul,2,0,,,,,3,0
2,0,3,Piyush Chawla,Quinton de Kock,KL Rahul,6,0,,,,,9,0
2,0,4,Piyush Chawla,Quinton de Kock,KL Rahul,0,0,,,,,9,0
2,0,5,Piyush Chawla,Quinton de Kock,KL Rahul,1,0,,,,,10,0
2,0,6,Piyush Chawla,KL Rahul,Quinton de Kock,4,0,,,,,14,0
2,1,1,Hardik Pandya,Quinton de Kock,KL Rahul,0,0,,,,,14,0
2,1,2,Hardik Pandya,Quinton de Kock,KL Rahul,1,0,,,,,15,0
2,1,3,Hardik Pandya,KL Rahul,Quinton de Kock,1,0,,,,,16,0
2,1,4,Hardik Pandya,Quinton de Kock,KL Rahul,2,0,,,,,18,0
2,1,5,Hardik Pandya,Quinton de Kock,KL Rahul,1,0,,,,,19,0
2,1,6,Hardik Pandya,KL Rahul,Quinton de Kock,0,0,,,,,19,0
2,2,1,Hardik Pandya,Quinton de Kock,KL Rahul,0,0,,,,,19,0
2,2,2,Hardik Pandya,Quinton de Kock,KL Rahul,2,0,,,,,21,0
2,2,3,Hardik Pandya,Quinton de Kock,KL Rahul,4,0,,,,,25,0
2,2,4,Hardik Pandya,Quinton de Kock,KL Rahul,1,0,,,,,26,0
2,2,5,Hardik Pandya,KL Rahul,Quinton de Kock,0,0,,,,,26,0
2,2,6,Hardik Pandya,KL Rahul,Quinton de Kock,0,0,,,,,26,0
2,3,1,Hardik Pandya,Quinton de Kock,KL Rahul,0,0,,,,,26,0
2,3,2,Hardik Pandya,Quinton de Kock,KL Rahul,0,0,,,,,26,0
2,3,3,Hardik Pandya,Quinton de Kock,KL Rahul,0,0,,,,,26,0
2,3,4,Hardik Pandya,Quinton de Kock,KL Rahul,1,0,,,,,27,0
2,3,5,Hardik Pandya,KL Rahul,Quinton de Kock,1,0,,,,,28,0
2,3,6,Hardik Pandya,Quinton de Kock,KL Rahul,2,0,,,,,30,0
2,4,1,Piyush Chawla,KL Rahul,Quinton de Kock,4,0,,,,,34,0
2,4,2,Piyush Chawla,KL Rahul,Quinton de Kock,1,0,,,,,35,0
2,4,3,Piyush Chawla,Quinton de Kock,KL Rahul,4,0,,,,,39,0
2,4,4,Piyush Chawla,Quinton de Kock,KL Rahul,0,0,,,,,39,0
2,4,5,Piyush Chawla,Quinton de Kock,KL Rahul,0,0,,,,,39,0
2,4,6,Piyush Chawla,Quinton de Kock,KL Rahul,1,0,,,,,40,0
2,5,1,Gerald Coetzee,Quinton de Kock,KL Rahul,0,1,noball,,,,41,0
2,5,1,Gerald Coetzee,Quinton de Kock,KL Rahul,4,0,,,,,45,0
2,5,2,Gerald Coetzee,Quinton de Kock,KL Rahul,0,0,,,,,45,0
2,5,3,Gerald Coetzee,Quinton de Kock,KL Rahul,0,0,,,,,45,0
2,5,4,Gerald Coetzee,Quinton de Kock,KL Rahul,1,0,,,,,46,0
2,5,5,Gerald Coetzee,KL Rahul,Quinton de Kock,0,0,,,,,46,0
2,5,6,Gerald Coetzee,KL Rahul,Quinton de Kock,0,0,,,,,46,0
2,6,1,Akash Madhwal,Quinton de Kock,KL Rahul,1,0,,,,,47,0
2,6,2,Akash Madhwal,KL Rahul,Quinton de Kock,6,0,,,,,53,0
2,6,3,Akash Madhwal,KL Rahul,Quinton de Kock,1,0,,,,,54,0
2,6,4,Akash Madhwal,Quinton de Kock,KL Rahul,1,0,,,,,55,0
2,6,5,Akash Madhwal,KL Rahul,Quinton de Kock,4,0,,,,,59,0
2,6,6,Akash Madhwal,KL Rahul,Quinton de Kock,2,0,,,,,61,0
2,7,1,Piyush Chawla,Quinton de Kock,KL Rahul,2,0,,,,,63,0
2,7,2,Piyush Chawla,Quinton de Kock,KL Rahul,1,0,,,,,64,0
2,7,3,Piyush Chawla,KL Rahul,Quinton de Kock,0,0,,,,,64,0
2,7,4,Piyush Chawla,KL Rahul,Quinton de Kock,0,0,,,,,64,0
2,7,5,Piyush Chawla,KL Rahul,Quinton de Kock,0,0,,,,,64,0
2,7,6,Piyush Chawla,KL Rahul,Quinton de Kock,0,0,,,,,64,0
2,8,1,Jasprit Bumrah,Quinton de Kock,KL Rahul,6,0,,,,,70,0
2,8,2,Jasprit Bumrah,Quinton de Kock,KL Rahul,0,0,,,,,70,0
2,8,3,Jasprit Bumrah,Quinton de Kock,KL Rahul,4,0,,,,,74,0
