Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Rahul Chahar,KL Rahul,Quinton de Kock,1,0,,,,,1,0
1,0,2,Rahul Chahar,Quinton de Kock,KL Rahul,3,0,,,,,4,0
1,0,3,Rahul Chahar,KL Rahul,Quinton de Kock,2,0,,,,,6,0
1,0,4,Rahul Chahar,KL Rahul,Quinton de Kock,1,0,,,,,7,0
1,0,5,Rahul Chahar,Quinton de Kock,KL Rahul,0,0,,,,,7,0
1,0,6,Rahul Chahar,Quinton de Kock,KL Rahul,1,0,,,,,8,0
1,1,1,Harshal Patel,Quinton de Kock,KL Rahul,0,0,,,,,8,0
1,1,2,Harshal Patel,Quinton de Kock,KL Rahul,0,0,,,,,8,0
1,1,3,Harshal Patel,Quinton de Kock,KL Rahul,1,0,,,,,9,0
1,1,4,Harshal Patel,KL Rahul,Quinton de Kock,0,0,,,,,9,0
1,1,5,Harshal Patel,KL Rahul,Quinton de Kock,3,0,,,,,12,0
1,1,6,Harshal Patel,Quinton de Kock,KL Rahul,2,0,,,,,14,0
1,2,1,Arshdeep Singh,KL Rahul,Quinton de Kock,2,0,,,,,16,0
1,2,2,Arshdeep Singh,KL Rahul,Quinton de Kock,0,0,,,,,16,0
1,2,3,Arshdeep Singh,KL Rahul,Quinton de Kock,0,0,,,,,16,0
1,2,4,Arshdeep Singh,KL Rahul,Quinton de Kock,1,0,,,,,17,0
1,2,5,Arshdeep Singh,Quinton de Kock,KL Rahul,0,0,,,,,17,0
1,2,6,Arshdeep Singh,Quinton de Kock,KL Rahul,3,0,,,,,20,0
1,3,1,Kagiso Rabada,Quinton de Kock,KL Rahul,1,0,,,,,21,0
1,3,2,Kagiso Rabada,KL Rahul,Quinton de Kock,1,0,,,,,22,0
1,3,3,Kagiso Rabada,Quinton de Kock,KL Rahul,6,0,,,,,28,0
1,3,4,Kagiso Rabada,Quinton de Kock,KL Rahul,1,0,,,,,29,0
1,3,5,Kagiso Rabada,KL Rahul,Quinton de Kock,0,0,,,,,29,0
1,3,6,Kagiso Rabada,KL Rahul,Quinton de Kock,0,0,,,,,29,0
1,4,1,Kagiso Rabada,Quinton de Kock,KL Rahul,0,0,,,,,29,0
1,4,2,Kagiso Rabada,Quinton de Kock,KL Rahul,2,0,,,,,31,0
1,4,3,Kagiso Rabada,Quinton de Kock,KL Rahul,2,0,,,,,33,0
1,4,4,Kagiso Rabada,Quinton de Kock,KL Rahul,0,0,,,,,33,0
1,4,5,Kagiso Rabada,Quinton de Kock,KL Rahul,4,0,,,,,37,0
