Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Jason Holder,Shikhar Dhawan,Jonny Bairstow,1,0,,,,,1,0
1,0,2,Jason Holder,Jonny Bairstow,Shikhar Dhawan,1,0,,,,,2,0
1,0,3,Jason Holder,Shikhar Dhawan,Jonny Bairstow,0,0,,,,,2,0
1,0,4,Jason Holder,Shikhar Dhawan,Jonny Bairstow,0,0,,,,,2,0
1,0,5,Jason Holder,Shikhar Dhawan,Jonny Bairstow,6,0,,,,,8,0
1,0,6,Jason Holder,Shikhar Dhawan,Jonny Bairstow,0,0,,,,,8,0
1,1,1,Rashid Khan,Jonny Bairstow,Shikhar Dhawan,4,0,,,,,12,0
1,1,2,Rashid Khan,Jonny Bairstow,Shikhar Dhawan,6,0,,,,,18,0
1,1,3,Rashid Khan,Jonny Bairstow,Shikhar Dhawan,0,0,,,,,18,0
1,1,4,Rashid Khan,Jonny Bairstow,Shikhar Dhawan,4,0,,,,,22,0
1,1,5,Rashid Khan,Jonny Bairstow,Shikhar Dhawan,1,0,,,,,23,0
1,1,6,Rashid Khan,Shikhar Dhawan,Jonny Bairstow,0,0,,,,,23,0
1,2,1,Washington Sundar,Jonny Bairstow,Shikhar Dhawan,2,0,,,,,25,0
1,2,2,Washington Sundar,Jonny Bairstow,Shikhar Dhawan,0,0,,,,,25,0
1,2,3,Washington Sundar,Jonny Bairstow,Shikhar Dhawan,0,0,,,,,25,0
1,2,4,Washington Sundar,Jonny Bairstow,Shikhar Dhawan,3,0,,,,,28,0
1,2,5,Washington Sundar,Shikhar Dhawan,Jonny Bairstow,4,0,,,,,32,0
1,2,6,Washington Sundar,Shikhar Dhawan,Jonny Bairstow,0,0,,,,,32,0
1,3,1,Washington Sundar,Jonny Bairstow,Shikhar Dhawan,2,0,,,,,34,0
1,3,2,Washington Sundar,Jonny Bairstow,Shikhar Dhawan,2,0,,,,,36,0
1,3,3,Washington Sundar,Jonny Bairstow,Shikhar Dhawan,0,0,,,,,36,0
1,3,4,Washington Sundar,Jonny Bairstow,Shikhar Dhawan,0,0,,lbw,Jonny Bairstow,Jos Buttler,36,1
1,3,5,Washington Sundar,Liam Livingstone,Shikhar Dhawan,1,0,,,,,37,1
1,3,6,Washington Sundar,Shikhar Dhawan,Liam Livingstone,2,0,,,,,39,1
1,4,1,Jason Holder,Liam Livingstone,Shikhar Dhawan,3,0,,,,,42,1
1,4,2,Jason Holder,Shikhar Dhawan,Liam Livingstone,0,0,,,,,42,1
1,4,3,Jason Holder,Shikhar Dhawan,Liam Livingstone,0,0,,bowled,Shikhar Dhawan,Jos Buttler,42,2
1,4,4,Jason Holder,Sam Curran,Liam Livingstone,0,0,,,,,42,2
1,4,5,Jason Holder,Sam Curran,Liam Livingstone,1,0,,,,,43,2
1,4,6,Jason Holder,Liam Livingstone,Sam Curran,1,0,,,,,44,2
1,5,1,Mohammed Siraj,Liam Livingstone,Sam Curran,1,0,,,,,45,2
1,5,2,Mohammed Siraj,Sam Curran,Liam Livingstone,0,0,,,,,45,2
1,5,3,Mohammed Siraj,Sam Curran,Liam Livingstone,4,0,,,,,49,2
1,5,4,Mohammed Siraj,Sam Curran,Liam Livingstone,0,0,,,,,49,2
1,5,5,Mohammed Siraj,Sam Curran,Liam Livingstone,0,0,,,,,49,2
1,5,6,Mohammed Siraj,Sam Curran,Liam Livingstone,0,0,,,,,49,2
1,6,1,Mohammed Siraj,Liam Livingstone,Sam Curran,2,0,,,,,51,2
1,6,2,Mohammed Siraj,Liam Livingstone,Sam Curran,0,0,,,,,51,2
1,6,3,Mohammed Siraj,Liam Livingstone,Sam Curran,1,0,,,,,52,2
1,6,4,Mohammed Siraj,Sam Curran,Liam Livingstone,2,0,,,,,54,2
1,6,5,Mohammed Siraj,Sam Curran,Liam Livingstone,0,0,,,,,54,2
1,6,6,Mohammed Siraj,Sam Curran,Liam Livingstone,0,0,,,,,54,2
1,7,1,Jason Holder,Liam Livingstone,Sam Curran,0,0,,,,,54,2
1,7,2,Jason Holder,Liam Livingstone,Sam Curran,0,1,noball,,,,55,2
1,7,2,Jason Holder,Liam Livingstone,Sam Curran,6,0,,,,,61,2
1,7,3,Jason Holder,Liam Livingstone,Sam Curran,6,0,,,,,67,2
1,7,4,Jason Holder,Liam Livingstone,Sam Curran,2,0,,,,,69,2
