Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Tushar Deshpande,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,0,,,,,0,0
1,0,2,Tushar Deshpande,Yashasvi Jaiswal,Vaibhav Sooryavanshi,6,0,,,,,6,0
1,0,3,Tushar Deshpande,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,0,,,,,6,0
1,0,4,Tushar Deshpande,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,0,,,,,6,0
1,0,5,Tushar Deshpande,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,0,,,,,6,0
1,0,6,Tushar Deshpande,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,0,,,,,6,0
1,1,1,Ravindra Jadeja,Vaibhav Sooryavanshi,Yashasvi Jaiswal,0,1,bye,,,,7,0
1,1,2,Ravindra Jadeja,Vaibhav Sooryavanshi,Yashasvi Jaiswal,1,0,,,,,8,0
1,1,3,Ravindra Jadeja,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,0,,,,,8,0
1,1,4,Ravindra Jadeja,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,1,noball,,,,9,0
1,1,4,Ravindra Jadeja,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,0,,,,,9,0
1,1,5,Ravindra Jadeja,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,0,,,,,9,0
1,1,6,Ravindra Jadeja,Yashasvi Jaiswal,Vaibhav Sooryavanshi,4,0,,,,,13,0
1,2,1,Shardul Thakur,Vaibhav Sooryavanshi,Yashasvi Jaiswal,1,0,,,,,14,0
1,2,2,Shardul Thakur,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,1,wide,,,,15,0
1,2,2,Shardul Thakur,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,0,,,,,15,0
1,2,3,Shardul Thakur,Yashasvi Jaiswal,Vaibhav Sooryavanshi,1,0,,,,,16,0
1,2,4,Shardul Thakur,Vaibhav Sooryavanshi,Yashasvi Jaiswal,0,0,,,,,16,0
1,2,5,Shardul Thakur,Vaibhav Sooryavanshi,Yashasvi Jaiswal,0,0,,,,,16,0
1,2,6,Shardul Thakur,Vaibhav Sooryavanshi,Yashasvi Jaiswal,4,0,,,,,20,0
1,3,1,Matheesha Pathirana,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,0,,lbw,Yashasvi Jaiswal,Shivam Dube,20,1
1,3,2,Matheesha Pathirana,Sanju Samson,Vaibhav Sooryavanshi,0,0,,,,,20,1
1,3,3,Matheesha Pathirana,Sanju Samson,Vaibhav Sooryavanshi,3,0,,,,,23,1
1,3,4,Matheesha Pathirana,Vaibhav Sooryavanshi,Sanju Samson,2,0,,,,,25,1
1,3,5,Matheesha Pathirana,Vaibhav Sooryavanshi,Sanju Samson,2,0,,,,,27,1
1,3,6,Matheesha Pathirana,Vaibhav Sooryavanshi,Sanju Samson,3,0,,,,,30,1
1,4,1,Deepak Chahar,Vaibhav Sooryavanshi,Sanju Samson,0,0,,,,,30,1
1,4,2,Deepak Chahar,Vaibhav Sooryavanshi,Sanju Samson,0,0,,,,,30,1
1,4,3,Deepak Chahar,Vaibhav Sooryavanshi,Sanju Samson,6,0,,,,,36,1
1,4,4,Deepak Chahar,Vaibhav Sooryavanshi,Sanju Samson,2,0,,,,,38,1
1,4,5,Deepak Chahar,Vaibhav Sooryavanshi,Sanju Samson,0,0,,,,,38,1
1,4,6,Deepak Chahar,Vaibhav Sooryavanshi,Sanju Samson,6,0,,,,,44,1
1,5,1,Shardul Thakur,Sanju Samson,Vaibhav Sooryavanshi,0,0,,,,,44,1
1,5,2,Shardul Thakur,Sanju Samson,Vaibhav Sooryavanshi,1,0,,,,,45,1
1,5,3,Shardul Thakur,Vaibhav Sooryavanshi,Sanju Samson,0,0,,,,,45,1
1,5,4,Shardul Thakur,Vaibhav Sooryavanshi,Sanju Samson,0,0,,,,,45,1
1,5,5,Shardul Thakur,Vaibhav Sooryavanshi,Sanju Samson,0,1,wide,,,,46,1
1,5,5,Shardul Thakur,Vaibhav Sooryavanshi,Sanju Samson,1,0,,,,,47,1
1,5,6,Shardul Thakur,Sanju Samson,Vaibhav Sooryavanshi,0,0,,,,,47,1
1,6,1,Shardul Thakur,Vaibhav Sooryavanshi,Sanju Samson,0,1,legbye,,,,48,1
1,6,2,Shardul Thakur,Vaibhav Sooryavanshi,Sanju Samson,2,0,,,,,50,1
1,6,3,Shardul Thakur,Vaibhav Sooryavanshi,Sanju Samson,3,0,,,,,53,1
1,6,4,Shardul Thakur,Sanju Samson,Vaibhav Sooryavanshi,3,0,,,,,56,1
1,6,5,Shardul Thakur,Vaibhav Sooryavanshi,Sanju Samson,1,0,,,,,57,1
1,6,6,Shardul Thakur,Sanju Samson,Vaibhav Sooryavanshi,6,0,,,,,63,1
1,7,1,Shardul Thakur,Vaibhav Sooryavanshi,Sanju Samson,0,0,,,,,63,1
1,7,2,Shardul Thakur,Vaibhav Sooryavanshi,Sanju Samson,1,0,,,,,64,1
1,7,3,Shardul Thakur,Sanju Samson,Vaibhav Sooryavanshi,2,0,,,,,66,1
1,7,4,Shardul Thakur,Sanju Samson,Vaibhav Sooryavanshi,4,0,,,,,70,1
1,7,5,Shardul Thakur,Sanju Samson,Vaibhav Sooryavanshi,4,0,,,,,74,1
1,7,6,Shardul Thakur,Sanju Samson,Vaibhav Sooryavanshi,1,0,,,,,75,1
1,8,1,Mitchell Santner,Sanju Samson,Vaibhav Sooryavanshi,0,0,,,,,75,1
1,8,2,Mitchell Santner,Sanju Samson,Vaibhav Sooryavanshi,1,0,,,,,76,1
1,8,3,Mitchell Santner,Vaibhav Sooryavanshi,Sanju Samson,0,0,,lbw,Vaibhav Sooryavanshi,Ruturaj Gaikwad,76,2
1,8,4,Mitchell Santner,Riyan Parag,Sanju Samson,2,0,,,,,78,2
1,8,5,Mitchell Santner,Riyan Parag,Sanju Samson,0,0,,,,,78,2
1,8,6,Mitchell Santner,Riyan Parag,Sanju Samson,0,0,,,,,78,2
1,9,1,Mitchell Santner,Sanju Samson,Riyan Parag,2,0,,,,,80,2
1,9,2,Mitchell Santner,Sanju Samson,Riyan Parag,1,0,,,,,81,2
1,9,3,Mitchell Santner,Riyan Parag,Sanju Samson,2,0,,,,,83,2
1,9,4,Mitchell Santner,Riyan Parag,Sanju Samson,1,0,,,,,84,2
1,9,5,Mitchell Santner,Sanju Samson,Riyan Parag,0,1,wide,,,,85,2
1,9,5,Mitchell Santner,Sanju Samson,Riyan Parag,1,0,,,,,86,2
1,9,6,Mitchell Santner,Riyan Parag,Sanju Samson,1,0,,,,,87,2
1,10,1,Matheesha Pathirana,Riyan Parag,Sanju Samson,2,0,,,,,89,2
1,10,2,Matheesha Pathirana,Riyan Parag,Sanju Samson,1,0,,,,,90,2
1,10,3,Matheesha Pathirana,Sanju Samson,Riyan Parag,0,0,,,,,90,2
1,10,4,Matheesha Pathirana,Sanju Samson,Riyan Parag,1,0,,,,,91,2
1,10,5,Matheesha Pathirana,Riyan Parag,Sanju Samson,2,0,,,,,93,2
1,10,6,Matheesha Pathirana,Riyan Parag,Sanju Samson,0,0,,,,,93,2
1,11,1,Shardul Thakur,Sanju Samson,Riyan Parag,0,1,wide,,,,94,2
1,11,1,Shardul Thakur,Sanju Samson,Riyan Parag,2,0,,,,,96,2
1,11,2,Shardul Thakur,Sanju Samson,Riyan Parag,0,0,,,,,96,2
1,11,3,Shardul Thakur,Sanju Samson,Riyan Parag,0,0,,,,,96,2
1,11,4,Shardul Thakur,Sanju Samson,Riyan Parag,0,0,,,,,96,2
1,11,5,Shardul Thakur,Sanju Samson,Riyan Parag,2,0,,,,,98,2
1,11,6,Shardul Thakur,Sanju Samson,Riyan Parag,0,0,,,,,98,2
1,12,1,Tushar Deshpande,Riyan Parag,Sanju Samson,4,0,,,,,102,2
1,12,2,Tushar Deshpande,Riyan Parag,Sanju Samson,0,0,,,,,102,2
1,12,3,Tushar Deshpande,Riyan Parag,Sanju Samson,1,0,,,,,103,2
1,12,4,Tushar Deshpande,Sanju Samson,Riyan Parag,0,0,,,,,103,2
1,12,5,Tushar Deshpande,Sanju Samson,Riyan Parag,0,0,,caught,Sanju Samson,Moeen Ali,103,3
1,12,6,Tushar Deshpande,Shimron Hetmyer,Riyan Parag,1,0,,,,,104,3
1,13,1,Mitchell Santner,Shimron Hetmyer,Riyan Parag,3,0,,,,,107,3
1,13,2,Mitchell Santner,Riyan Parag,Shimron Hetmyer,1,0,,,,,108,3
1,13,3,Mitchell Santner,Shimron Hetmyer,Riyan Parag,1,0,,,,,109,3
1,13,4,Mitchell Santner,Riyan Parag,Shimron Hetmyer,1,0,,,,,110,3
1,13,5,Mitchell Santner,Shimron Hetmyer,Riyan Parag,4,0,,,,,114,3
1,13,6,Mitchell Santner,Shimron Hetmyer,Riyan Parag,1,0,,,,,115,3
1,14,1,Matheesha Pathirana,Shimron Hetmyer,Riyan Parag,4,0,,,,,119,3
1,14,2,Matheesha Pathirana,Shimron Hetmyer,Riyan Parag,0,0,,,,,119,3
1,14,3,Matheesha Pathirana,Shimron Hetmyer,Riyan Parag,1,0,,,,,120,3
1,14,4,Matheesha Pathirana,Riyan Parag,Shimron Hetmyer,0,1,bye,,,,121,3
1,14,5,Matheesha Pathirana,Riyan Parag,Shimron Hetmyer,0,0,,,,,121,3
1,14,6,Matheesha Pathirana,Riyan Parag,Shimron Hetmyer,0,0,,,,,121,3
1,15,1,Deepak Chahar,Shimron Hetmyer,Riyan Parag,0,0,,,,,121,3
1,15,2,Deepak Chahar,Shimron Hetmyer,Riyan Parag,1,0,,,,,122,3
1,15,3,Deepak Chahar,Riyan Parag,Shimron Hetmyer,0,0,,,,,122,3
1,15,4,Deepak Chahar,Riyan Parag,Shimron Hetmyer,1,0,,,,,123,3
1,15,5,Deepak Chahar,Shimron Hetmyer,Riyan Parag,3,0,,,,,126,3
1,15,6,Deepak Chahar,Riyan Parag,Shimron Hetmyer,1,0,,,,,127,3
1,16,1,Tushar Deshpande,Riyan Parag,Shimron Hetmyer,0,0,,,,,127,3
1,16,2,Tushar Deshpande,Riyan Parag,Shimron Hetmyer,2,0,,,,,129,3
1,16,3,Tushar Deshpande,Riyan Parag,Shimron Hetmyer,4,0,,,,,133,3
1,16,4,Tushar Deshpande,Riyan Parag,Shimron Hetmyer,4,0,,,,,137,3
1,16,5,Tushar Deshpande,Riyan Parag,Shimron Hetmyer,0,0,,,,,137,3
