Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Shahbaz Ahmed,Rishabh Pant,David Warner,0,0,,,,,0,0
1,0,2,Shahbaz Ahmed,Rishabh Pant,David Warner,1,0,,,,,1,0
1,0,3,Shahbaz Ahmed,David Warner,Rishabh Pant,2,0,,,,,3,0
1,0,4,Shahbaz Ahmed,David Warner,Rishabh Pant,2,0,,,,,5,0
1,0,5,Shahbaz Ahmed,David Warner,Rishabh Pant,0,1,noball,,,,6,0
1,0,5,Shahbaz Ahmed,David Warner,Rishabh Pant,1,0,,,,,7,0
1,0,6,Shahbaz Ahmed,Rishabh Pant,David Warner,0,0,,,,,7,0
1,1,1,Shahbaz Ahmed,David Warner,Rishabh Pant,0,0,,,,,7,0
1,1,2,Shahbaz Ahmed,David Warner,Rishabh Pant,4,0,,,,,11,0
1,1,3,Shahbaz Ahmed,David Warner,Rishabh Pant,2,0,,,,,13,0
1,1,4,Shahbaz Ahmed,David Warner,Rishabh Pant,1,0,,,,,14,0
1,1,5,Shahbaz Ahmed,Rishabh Pant,David Warner,0,0,,,,,14,0
1,1,6,Shahbaz Ahmed,Rishabh Pant,David Warner,2,0,,,,,16,0
1,2,1,Jaydev Unadkat,David Warner,Rishabh Pant,0,0,,,,,16,0
1,2,2,Jaydev Unadkat,David Warner,Rishabh Pant,4,0,,,,,20,0
1,2,3,Jaydev Unadkat,David Warner,Rishabh Pant,0,0,,caught,David Warner,Heinrich Klaasen,20,1
1,2,4,Jaydev Unadkat,Prithvi Shaw,Rishabh Pant,4,0,,,,,24,1
1,2,5,Jaydev Unadkat,Prithvi Shaw,Rishabh Pant,0,0,,,,,24,1
1,2,6,Jaydev Unadkat,Prithvi Shaw,Rishabh Pant,3,0,,,,,27,1
1,3,1,Nitish Reddy,Prithvi Shaw,Rishabh Pant,0,0,,,,,27,1
1,3,2,Nitish Reddy,Prithvi Shaw,Rishabh Pant,0,0,,,,,27,1
1,3,3,Nitish Reddy,Prithvi Shaw,Rishabh Pant,0,0,,,,,27,1
1,3,4,Nitish Reddy,Prithvi Shaw,Rishabh Pant,2,0,,,,,29,1
1,3,5,Nitish Reddy,Prithvi Shaw,Rishabh Pant,0,0,,stumped,Prithvi Shaw,Heinrich Klaasen,29,2
1,3,6,Nitish Reddy,Jake Fraser-McGurk,Rishabh Pant,0,0,,,,,29,2
1,4,1,T Natarajan,Rishabh Pant,Jake Fraser-McGurk,4,0,,,,,33,2
1,4,2,T Natarajan,Rishabh Pant,Jake Fraser-McGurk,0,0,,,,,33,2
1,4,3,T Natarajan,Rishabh Pant,Jake Fraser-McGurk,0,0,,,,,33,2
1,4,4,T Natarajan,Rishabh Pant,Jake Fraser-McGurk,2,0,,,,,35,2
1,4,5,T Natarajan,Rishabh Pant,Jake Fraser-McGurk,0,1,wide,,,,36,2
1,4,5,T Natarajan,Rishabh Pant,Jake Fraser-McGurk,3,0,,,,,39,2
1,4,6,T Natarajan,Jake Fraser-McGurk,Rishabh Pant,0,0,,,,,39,2
1,5,1,T Natarajan,Rishabh Pant,Jake Fraser-McGurk,4,0,,,,,43,2
1,5,2,T Natarajan,Rishabh Pant,Jake Fraser-McGurk,2,0,,,,,45,2
1,5,3,T Natarajan,Rishabh Pant,Jake Fraser-McGurk,0,0,,,,,45,2
1,5,4,T Natarajan,Rishabh Pant,Jake Fraser-McGurk,3,0,,,,,48,2
1,5,5,T Natarajan,Jake Fraser-McGurk,Rishabh Pant,6,0,,,,,54,2
1,5,6,T Natarajan,Jake Fraser-McGurk,Rishabh Pant,4,0,,,,,58,2
1,6,1,Mayank Markande,Rishabh Pant,Jake Fraser-McGurk,0,0,,,,,58,2
1,6,2,Mayank Markande,Rishabh Pant,Jake Fraser-McGurk,0,0,,,,,58,2
1,6,3,Mayank Markande,Rishabh Pant,Jake Fraser-McGurk,0,0,,stumped,Rishabh Pant,Abhishek Sharma,58,3
1,6,4,Mayank Markande,Tristan Stubbs,Jake Fraser-McGurk,4,0,,,,,62,3
1,6,5,Mayank Markande,Tristan Stubbs,Jake Fraser-McGurk,1,0,,,,,63,3
1,6,6,Mayank Markande,Jake Fraser-McGurk,Tristan Stubbs,2,0,,,,,65,3
1,7,1,Nitish Reddy,Tristan Stubbs,Jake Fraser-McGurk,1,0,,,,,66,3
1,7,2,Nitish Reddy,Jake Fraser-McGurk,Tristan Stubbs,1,0,,,,,67,3
