Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Jason Holder,KL Rahul,Quinton de Kock,1,0,,,,,1,0
1,0,2,Jason Holder,Quinton de Kock,KL Rahul,2,0,,,,,3,0
1,0,3,Jason Holder,Quinton de Kock,KL Rahul,3,0,,,,,6,0
1,0,4,Jason Holder,KL Rahul,Quinton de Kock,0,0,,,,,6,0
1,0,5,Jason Holder,KL Rahul,Quinton de Kock,0,0,,,,,6,0
1,0,6,Jason Holder,KL Rahul,Quinton de Kock,0,0,,,,,6,0
1,1,1,Washington Sundar,Quinton de Kock,KL Rahul,4,0,,,,,10,0
1,1,2,Washington Sundar,Quinton de Kock,KL Rahul,0,0,,,,,10,0
1,1,3,Washington Sundar,Quinton de Kock,KL Rahul,1,0,,,,,11,0
1,1,4,Washington Sundar,KL Rahul,Quinton de Kock,0,0,,,,,11,0
1,1,5,Washington Sundar,KL Rahul,Quinton de Kock,1,0,,,,,12,0
1,1,6,Washington Sundar,Quinton de Kock,KL Rahul,2,0,,,,,14,0
1,2,1,Mohammed Siraj,KL Rahul,Quinton de Kock,2,0,,,,,16,0
1,2,2,Mohammed Siraj,KL Rahul,Quinton de Kock,0,0,,,,,16,0
1,2,3,Mohammed Siraj,KL Rahul,Quinton de Kock,0,0,,,,,16,0
1,2,4,Mohammed Siraj,KL Rahul,Quinton de Kock,1,0,,,,,17,0
1,2,5,Mohammed Siraj,Quinton de Kock,KL Rahul,0,1,noball,,,,18,0
1,2,5,Mohammed Siraj,Quinton de Kock,KL Rahul,0,0,,,,,18,0
1,2,6,Mohammed Siraj,Quinton de Kock,KL Rahul,0,0,,,,,18,0
1,3,1,Mohammed Siraj,KL Rahul,Quinton de Kock,2,0,,,,,20,0
1,3,2,Mohammed Siraj,KL Rahul,Quinton de Kock,0,0,,,,,20,0
1,3,3,Mohammed Siraj,KL Rahul,Quinton de Kock,0,0,,bowled,KL Rahul,Nishant Sindhu,20,1
