Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Khaleel Ahmed,Travis Head,Abhishek Sharma,0,0,,bowled,Travis Head,Abishek Porel,0,1
1,0,2,Khaleel Ahmed,Heinrich Klaasen,Abhishek Sharma,1,0,,,,,1,1
1,0,3,Khaleel Ahmed,Abhishek Sharma,Heinrich Klaasen,1,0,,,,,2,1
1,0,4,Khaleel Ahmed,Heinrich Klaasen,Abhishek Sharma,2,0,,,,,4,1
1,0,5,Khaleel Ahmed,Heinrich Klaasen,Abhishek Sharma,0,0,,,,,4,1
1,0,6,Khaleel Ahmed,Heinrich Klaasen,Abhishek Sharma,2,0,,,,,6,1
1,1,1,Khaleel Ahmed,Abhishek Sharma,Heinrich Klaasen,0,0,,,,,6,1
1,1,2,Khaleel Ahmed,Abhishek Sharma,Heinrich Klaasen,1,0,,,,,7,1
1,1,3,Khaleel Ahmed,Heinrich Klaasen,Abhishek Sharma,4,0,,,,,11,1
1,1,4,Khaleel Ahmed,Heinrich Klaasen,Abhishek Sharma,0,0,,,,,11,1
1,1,5,Khaleel Ahmed,Heinrich Klaasen,Abhishek Sharma,0,1,legbye,,,,12,1
1,1,6,Khaleel Ahmed,Heinrich Klaasen,Abhishek Sharma,0,0,,,,,12,1
1,2,1,Anrich Nortje,Abhishek Sharma,Heinrich Klaasen,0,0,,,,,12,1
1,2,2,Anrich Nortje,Abhishek Sharma,Heinrich Klaasen,1,0,,,,,13,1
1,2,3,Anrich Nortje,Heinrich Klaasen,Abhishek Sharma,0,0,,,,,13,1
1,2,4,Anrich Nortje,Heinrich Klaasen,Abhishek Sharma,0,0,,,,,13,1
1,2,5,Anrich Nortje,Heinrich Klaasen,Abhishek Sharma,4,0,,,,,17,1
1,2,6,Anrich Nortje,Heinrich Klaasen,Abhishek Sharma,6,0,,,,,23,1
1,3,1,Mukesh Kumar,Abhishek Sharma,Heinrich Klaasen,0,0,,,,,23,1
1,3,2,Mukesh Kumar,Abhishek Sharma,Heinrich Klaasen,1,0,,,,,24,1
1,3,3,Mukesh Kumar,Heinrich Klaasen,Abhishek Sharma,1,0,,,,,25,1
1,3,4,Mukesh Kumar,Abhishek Sharma,Heinrich Klaasen,1,0,,,,,26,1
1,3,5,Mukesh Kumar,Heinrich Klaasen,Abhishek Sharma,0,0,,,,,26,1
1,3,6,Mukesh Kumar,Heinrich Klaasen,Abhishek Sharma,0,0,,,,,26,1
1,4,1,Khaleel Ahmed,Abhishek Sharma,Heinrich Klaasen,0,0,,,,,26,1
