Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Romario Shepherd,Rishabh Pant,David Warner,1,0,,,,,1,0
1,0,2,Romario Shepherd,David Warner,Rishabh Pant,4,0,,,,,5,0
1,0,3,Romario Shepherd,David Warner,Rishabh Pant,0,0,,,,,5,0
1,0,4,Romario Shepherd,David Warner,Rishabh Pant,0,0,,run out,Rishabh Pant,Suryakumar Yadav,5,1
1,0,5,Romario Shepherd,David Warner,Prithvi Shaw,1,0,,,,,6,1
1,0,6,Romario Shepherd,Prithvi Shaw,David Warner,0,0,,,,,6,1
1,1,1,Gerald Coetzee,David Warner,Prithvi Shaw,0,0,,,,,6,1
1,1,2,Gerald Coetzee,David Warner,Prithvi Shaw,0,1,bye,,,,7,1
1,1,3,Gerald Coetzee,David Warner,Prithvi Shaw,0,0,,,,,7,1
1,1,4,Gerald Coetzee,David Warner,Prithvi Shaw,2,0,,,,,9,1
1,1,5,Gerald Coetzee,David Warner,Prithvi Shaw,0,0,,,,,9,1
1,1,6,Gerald Coetzee,David Warner,Prithvi Shaw,0,1,legbye,,,,10,1
1,2,1,Piyush Chawla,Prithvi Shaw,David Warner,0,0,,,,,10,1
1,2,2,Piyush Chawla,Prithvi Shaw,David Warner,0,0,,,,,10,1
1,2,3,Piyush Chawla,Prithvi Shaw,David Warner,1,0,,,,,11,1
1,2,4,Piyush Chawla,David Warner,Prithvi Shaw,0,0,,,,,11,1
1,2,5,Piyush Chawla,David Warner,Prithvi Shaw,4,0,,,,,15,1
1,2,6,Piyush Chawla,David Warner,Prithvi Shaw,0,0,,,,,15,1
1,3,1,Hardik Pandya,Prithvi Shaw,David Warner,0,0,,,,,15,1
1,3,2,Hardik Pandya,Prithvi Shaw,David Warner,0,0,,bowled,Prithvi Shaw,Naman Dhir,15,2
1,3,3,Hardik Pandya,Jake Fraser-McGurk,David Warner,6,0,,,,,21,2
1,3,4,Hardik Pandya,Jake Fraser-McGurk,David Warner,1,0,,,,,22,2
1,3,5,Hardik Pandya,David Warner,Jake Fraser-McGurk,0,0,,,,,22,2
1,3,6,Hardik Pandya,David Warner,Jake Fraser-McGurk,3,0,,,,,25,2
1,4,1,Hardik Pandya,David Warner,Jake Fraser-McGurk,0,1,legbye,,,,26,2
1,4,2,Hardik Pandya,David Warner,Jake Fraser-McGurk,0,0,,,,,26,2
1,4,3,Hardik Pandya,David Warner,Jake Fraser-McGurk,1,0,,,,,27,2
1,4,4,Hardik Pandya,Jake Fraser-McGurk,David Warner,0,0,,,,,27,2
1,4,5,Hardik Pandya,Jake Fraser-McGurk,David Warner,1,0,,,,,28,2
1,4,6,Hardik Pandya,David Warner,Jake Fraser-McGurk,1,0,,,,,29,2
1,5,1,Piyush Chawla,David Warner,Jake Fraser-McGurk,4,0,,,,,33,2
1,5,2,Piyush Chawla,David Warner,Jake Fraser-McGurk,0,0,,,,,33,2
1,5,3,Piyush Chawla,David Warner,Jake Fraser-McGurk,2,0,,,,,35,2
1,5,4,Piyush Chawla,David Warner,Jake Fraser-McGurk,4,0,,,,,39,2
1,5,5,Piyush Chawla,David Warner,Jake Fraser-McGurk,0,1,wide,,,,40,2
1,5,5,Piyush Chawla,David Warner,Jake Fraser-McGurk,1,0,,,,,41,2
1,5,6,Piyush Chawla,Jake Fraser-McGurk,David Warner,1,0,,,,,42,2
1,6,1,Jasprit Bumrah,Jake Fraser-McGurk,David Warner,0,0,,,,,42,2
1,6,2,Jasprit Bumrah,Jake Fraser-McGurk,David Warner,0,0,,,,,42,2
1,6,3,Jasprit Bumrah,Jake Fraser-McGurk,David Warner,0,0,,,,,42,2
1,6,4,Jasprit Bumrah,Jake Fraser-McGurk,David Warner,4,0,,,,,46,2
1,6,5,Jasprit Bumrah,Jake Fraser-McGurk,David Warner,4,0,,,,,50,2
1,6,6,Jasprit Bumrah,Jake Fraser-McGurk,David Warner,6,0,,,,,56,2
1,7,1,Akash Madhwal,David Warner,Jake Fraser-McGurk,2,0,,,,,58,2
1,7,2,Akash Madhwal,David Warner,Jake Fraser-McGurk,3,0,,,,,61,2
1,7,3,Akash Madhwal,Jake Fraser-McGurk,David Warner,2,0,,,,,63,2
1,7,4,Akash Madhwal,Jake Fraser-McGurk,David Warner,2,0,,,,,65,2
1,7,5,Akash Madhwal,Jake Fraser-McGurk,David Warner,0,1,noball,,,,66,2
1,7,5,Akash Madhwal,Jake Fraser-McGurk,David Warner,1,0,,,,,67,2
1,7,6,Akash Madhwal,David Warner,Jake Fraser-McGurk,3,0,,,,,70,2
1,8,1,Piyush Chawla,David Warner,Jake Fraser-McGurk,4,0,,,,,74,2
1,8,2,Piyush Chawla,David Warner,Jake Fraser-McGurk,0,0,,lbw,David Warner,Ishan Kishan,74,3
1,8,3,Piyush Chawla,Tristan Stubbs,Jake Fraser-McGurk,0,0,,,,,74,3
1,8,4,Piyush Chawla,Tristan Stubbs,Jake Fraser-McGurk,0,0,,,,,74,3
1,8,5,Piyush Chawla,Tristan Stubbs,Jake Fraser-McGurk,6,0,,,,,80,3
