Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Pat Cummins,Shikhar Dhawan,Jonny Bairstow,1,0,,,,,1,0
1,0,2,Pat Cummins,Jonny Bairstow,Shikhar Dhawan,0,0,,,,,1,0
1,0,3,Pat Cummins,Jonny Bairstow,Shikhar Dhawan,0,0,,,,,1,0
1,0,4,Pat Cummins,Jonny Bairstow,Shikhar Dhawan,0,1,wide,,,,2,0
1,0,4,Pat Cummins,Jonny Bairstow,Shikhar Dhawan,0,0,,bowled,Jonny Bairstow,Shahbaz Ahmed,2,1
1,0,5,Pat Cummins,Liam Livingstone,Shikhar Dhawan,0,0,,,,,2,1
1,0,6,Pat Cummins,Liam Livingstone,Shikhar Dhawan,3,0,,,,,5,1
1,1,1,Shahbaz Ahmed,Liam Livingstone,Shikhar Dhawan,0,0,,,,,5,1
1,1,2,Shahbaz Ahmed,Liam Livingstone,Shikhar Dhawan,0,0,,,,,5,1
1,1,3,Shahbaz Ahmed,Liam Livingstone,Shikhar Dhawan,1,0,,,,,6,1
1,1,4,Shahbaz Ahmed,Shikhar Dhawan,Liam Livingstone,4,0,,,,,10,1
1,1,5,Shahbaz Ahmed,Shikhar Dhawan,Liam Livingstone,0,0,,,,,10,1
1,1,6,Shahbaz Ahmed,Shikhar Dhawan,Liam Livingstone,0,0,,,,,10,1
1,2,1,Mayank Markande,Liam Livingstone,Shikhar Dhawan,0,0,,,,,10,1
1,2,2,Mayank Markande,Liam Livingstone,Shikhar Dhawan,1,0,,,,,11,1
1,2,3,Mayank Markande,Shikhar Dhawan,Liam Livingstone,1,0,,,,,12,1
1,2,4,Mayank Markande,Liam Livingstone,Shikhar Dhawan,0,0,,,,,12,1
1,2,5,Mayank Markande,Liam Livingstone,Shikhar Dhawan,1,0,,,,,13,1
1,2,6,Mayank Markande,Shikhar Dhawan,Liam Livingstone,3,0,,,,,16,1
1,3,1,Jaydev Unadkat,Shikhar Dhawan,Liam Livingstone,0,1,legbye,,,,17,1
1,3,2,Jaydev Unadkat,Shikhar Dhawan,Liam Livingstone,1,0,,,,,18,1
1,3,3,Jaydev Unadkat,Liam Livingstone,Shikhar Dhawan,0,0,,,,,18,1
1,3,4,Jaydev Unadkat,Liam Livingstone,Shikhar Dhawan,4,0,,,,,22,1
1,3,5,Jaydev Unadkat,Liam Livingstone,Shikhar Dhawan,0,0,,,,,22,1
1,3,6,Jaydev Unadkat,Liam Livingstone,Shikhar Dhawan,0,1,wide,,,,23,1
1,3,6,Jaydev Unadkat,Liam Livingstone,Shikhar Dhawan,0,0,,,,,23,1
1,4,1,Mayank Markande,Shikhar Dhawan,Liam Livingstone,1,0,,,,,24,1
1,4,2,Mayank Markande,Liam Livingstone,Shikhar Dhawan,3,0,,,,,27,1
1,4,3,Mayank Markande,Shikhar Dhawan,Liam Livingstone,4,0,,,,,31,1
1,4,4,Mayank Markande,Shikhar Dhawan,Liam Livingstone,1,0,,,,,32,1
1,4,5,Mayank Markande,Liam Livingstone,Shikhar Dhawan,4,0,,,,,36,1
1,4,6,Mayank Markande,Liam Livingstone,Shikhar Dhawan,1,0,,,,,37,1
1,5,1,Jaydev Unadkat,Liam Livingstone,Shikhar Dhawan,0,0,,,,,37,1
1,5,2,Jaydev Unadkat,Liam Livingstone,Shikhar Dhawan,4,0,,,,,41,1
1,5,3,Jaydev Unadkat,Liam Livingstone,Shikhar Dhawan,0,0,,,,,41,1
1,5,4,Jaydev Unadkat,Liam Livingstone,Shikhar Dhawan,1,0,,,,,42,1
1,5,5,Jaydev Unadkat,Shikhar Dhawan,Liam Livingstone,0,0,,,,,42,1
1,5,6,Jaydev Unadkat,Shikhar Dhawan,Liam Livingstone,2,0,,,,,44,1
1,6,1,Nitish Reddy,Liam Livingstone,Shikhar Dhawan,0,0,,,,,44,1
1,6,2,Nitish Reddy,Liam Livingstone,Shikhar Dhawan,0,0,,,,,44,1
1,6,3,Nitish Reddy,Liam Livingstone,Shikhar Dhawan,3,0,,,,,47,1
1,6,4,Nitish Reddy,Shikhar Dhawan,Liam Livingstone,0,0,,,,,47,1
