Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Bhuvneshwar Kumar,Travis Head,Abhishek Sharma,4,0,,,,,4,0
1,0,2,Bhuvneshwar Kumar,Travis Head,Abhishek Sharma,0,0,,,,,4,0
1,0,3,Bhuvneshwar Kumar,Travis Head,Abhishek Sharma,0,0,,bowled,Travis Head,Jitesh Sharma,4,1
1,0,4,Bhuvneshwar Kumar,Heinrich Klaasen,Abhishek Sharma,2,0,,,,,6,1
1,0,5,Bhuvneshwar Kumar,Heinrich Klaasen,Abhishek Sharma,0,0,,run out,Abhishek Sharma,Virat Kohli,6,2
1,0,6,Bhuvneshwar Kumar,Heinrich Klaasen,Nitish Reddy,1,0,,,,,7,2
1,1,1,Rasikh Salam,Heinrich Klaasen,Nitish Reddy,0,0,,,,,7,2
1,1,2,Rasikh Salam,Heinrich Klaasen,Nitish Reddy,1,0,,,,,8,2
1,1,3,Rasikh Salam,Nitish Reddy,Heinrich Klaasen,0,1,noball,,,,9,2
1,1,3,Rasikh Salam,Nitish Reddy,Heinrich Klaasen,1,0,,,,,10,2
1,1,4,Rasikh Salam,Heinrich Klaasen,Nitish Reddy,4,0,,,,,14,2
1,1,5,Rasikh Salam,Heinrich Klaasen,Nitish Reddy,3,0,,,,,17,2
1,1,6,Rasikh Salam,Nitish Reddy,Heinrich Klaasen,0,1,noball,,,,18,2
1,1,6,Rasikh Salam,Nitish Reddy,Heinrich Klaasen,0,0,,stumped,Nitish Reddy,Rajat Patidar,18,3
1,2,1,Josh Hazlewood,Heinrich Klaasen,Abdul Samad,0,0,,,,,18,3
1,2,2,Josh Hazlewood,Heinrich Klaasen,Abdul Samad,4,0,,,,,22,3
1,2,3,Josh Hazlewood,Heinrich Klaasen,Abdul Samad,0,0,,,,,22,3
1,2,4,Josh Hazlewood,Heinrich Klaasen,Abdul Samad,6,0,,,,,28,3
1,2,5,Josh Hazlewood,Heinrich Klaasen,Abdul Samad,0,0,,run out,Abdul Samad,Krunal Pandya,28,4
1,2,6,Josh Hazlewood,Heinrich Klaasen,Shahbaz Ahmed,0,0,,,,,28,4
1,3,1,Rasikh Salam,Shahbaz Ahmed,Heinrich Klaasen,0,0,,,,,28,4
1,3,2,Rasikh Salam,Shahbaz Ahmed,Heinrich Klaasen,0,0,,,,,28,4
1,3,3,Rasikh Salam,Shahbaz Ahmed,Heinrich Klaasen,0,0,,,,,28,4
1,3,4,Rasikh Salam,Shahbaz Ahmed,Heinrich Klaasen,0,0,,,,,28,4
1,3,5,Rasikh Salam,Shahbaz Ahmed,Heinrich Klaasen,6,0,,,,,34,4
1,3,6,Rasikh Salam,Shahbaz Ahmed,Heinrich Klaasen,0,0,,,,,34,4
1,4,1,Venkatesh Iyer,Heinrich Klaasen,Shahbaz Ahmed,0,0,,,,,34,4
1,4,2,Venkatesh Iyer,Heinrich Klaasen,Shahbaz Ahmed,2,0,,,,,36,4
1,4,3,Venkatesh Iyer,Heinrich Klaasen,Shahbaz Ahmed,0,0,,lbw,Heinrich Klaasen,Devdutt Padikkal,36,5
1,4,4,Venkatesh Iyer,Pat Cummins,Shahbaz Ahmed,1,0,,,,,37,5
1,4,5,Venkatesh Iyer,Shahbaz Ahmed,Pat Cummins,2,0,,,,,39,5
1,4,6,Venkatesh Iyer,Shahbaz Ahmed,Pat Cummins,0,0,,,,,39,5
1,5,1,Josh Hazlewood,Pat Cummins,Shahbaz Ahmed,0,0,,,,,39,5
1,5,2,Josh Hazlewood,Pat Cummins,Shahbaz Ahmed,0,0,,,,,39,5
1,5,3,Josh Hazlewood,Pat Cummins,Shahbaz Ahmed,0,0,,,,,39,5
1,5,4,Josh Hazlewood,Pat Cummins,Shahbaz Ahmed,1,0,,,,,40,5
1,5,5,Josh Hazlewood,Shahbaz Ahmed,Pat Cummins,0,0,,,,,40,5
1,5,6,Josh Hazlewood,Shahbaz Ahmed,Pat Cummins,2,0,,,,,42,5
1,6,1,Josh Hazlewood,Pat Cummins,Shahbaz Ahmed,1,0,,,,,43,5
1,6,2,Josh Hazlewood,Shahbaz Ahmed,Pat Cummins,0,0,,,,,43,5
1,6,3,Josh Hazlewood,Shahbaz Ahmed,Pat Cummins,2,0,,,,,45,5
1,6,4,Josh Hazlewood,Shahbaz Ahmed,Pat Cummins,2,0,,,,,47,5
1,6,5,Josh Hazlewood,Shahbaz Ahmed,Pat Cummins,0,0,,,,,47,5
1,6,6,Josh Hazlewood,Shahbaz Ahmed,Pat Cummins,0,0,,,,,47,5
1,7,1,Josh Hazlewood,Pat Cummins,Shahbaz Ahmed,0,0,,,,,47,5
1,7,2,Josh Hazlewood,Pat Cummins,Shahbaz Ahmed,1,0,,,,,48,5
1,7,3,Josh Hazlewood,Shahbaz Ahmed,Pat Cummins,2,0,,,,,50,5
1,7,4,Josh Hazlewood,Shahbaz Ahmed,Pat Cummins,3,0,,,,,53,5
1,7,5,Josh Hazlewood,Pat Cummins,Shahbaz Ahmed,1,0,,,,,54,5
1,7,6,Josh Hazlewood,Shahbaz Ahmed,Pat Cummins,4,0,,,,,58,5
1,8,1,Krunal Pandya,Pat Cummins,Shahbaz Ahmed,0,0,,stumped,Pat Cummins,Jitesh Sharma,58,6
1,9,1,Rasikh Salam,Shahbaz Ahmed,Pat Cummins,0,0,,,,,58,6
1,9,2,Rasikh Salam,Shahbaz Ahmed,Pat Cummins,0,0,,,,,58,6
1,9,3,Rasikh Salam,Shahbaz Ahmed,Pat Cummins,0,0,,,,,58,6
1,9,4,Rasikh Salam,Shahbaz Ahmed,Pat Cummins,1,0,,,,,59,6
1,9,5,Rasikh Salam,Pat Cummins,Shahbaz Ahmed,0,0,,,,,59,6
1,9,6,Rasikh Salam,Pat Cummins,Shahbaz Ahmed,4,0,,,,,63,6
1,10,1,Venkatesh Iyer,Shahbaz Ahmed,Pat Cummins,0,0,,,,,63,6
1,10,2,Venkatesh Iyer,Shahbaz Ahmed,Pat Cummins,2,0,,,,,65,6
1,10,3,Venkatesh Iyer,Shahbaz Ahmed,Pat Cummins,4,0,,,,,69,6
1,10,4,Venkatesh Iyer,Shahbaz Ahmed,Pat Cummins,1,0,,,,,70,6
