Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Jaydev Unadkat,KL Rahul,Quinton de Kock,1,0,,,,,1,0
1,0,2,Jaydev Unadkat,Quinton de Kock,KL Rahul,3,0,,,,,4,0
1,0,3,Jaydev Unadkat,KL Rahul,Quinton de Kock,0,0,,,,,4,0
1,0,4,Jaydev Unadkat,KL Rahul,Quinton de Kock,0,0,,lbw,KL Rahul,Pat Cummins,4,1
1,0,5,Jaydev Unadkat,Nicholas Pooran,Quinton de Kock,4,0,,,,,8,1
1,0,6,Jaydev Unadkat,Nicholas Pooran,Quinton de Kock,0,0,,lbw,Nicholas Pooran,Travis Head,8,2
1,1,1,Pat Cummins,Quinton de Kock,Marcus Stoinis,0,1,bye,,,,9,2
1,1,2,Pat Cummins,Quinton de Kock,Marcus Stoinis,4,0,,,,,13,2
1,1,3,Pat Cummins,Quinton de Kock,Marcus Stoinis,0,1,legbye,,,,14,2
1,1,4,Pat Cummins,Quinton de Kock,Marcus Stoinis,1,0,,,,,15,2
1,1,5,Pat Cummins,Marcus Stoinis,Quinton de Kock,0,1,noball,,,,16,2
1,1,5,Pat Cummins,Marcus Stoinis,Quinton de Kock,1,0,,,,,17,2
1,1,6,Pat Cummins,Quinton de Kock,Marcus Stoinis,1,0,,,,,18,2
1,2,1,Nitish Reddy,Quinton de Kock,Marcus Stoinis,0,0,,,,,18,2
1,2,2,Nitish Reddy,Quinton de Kock,Marcus Stoinis,2,0,,,,,20,2
1,2,3,Nitish Reddy,Quinton de Kock,Marcus Stoinis,0,0,,,,,20,2
1,2,4,Nitish Reddy,Quinton de Kock,Marcus Stoinis,0,0,,,,,20,2
1,2,5,Nitish Reddy,Quinton de Kock,Marcus Stoinis,0,0,,,,,20,2
1,2,6,Nitish Reddy,Quinton de Kock,Marcus Stoinis,1,0,,,,,21,2
1,3,1,Jaydev Unadkat,Quinton de Kock,Marcus Stoinis,1,0,,,,,22,2
1,3,2,Jaydev Unadkat,Marcus Stoinis,Quinton de Kock,1,0,,,,,23,2
1,3,3,Jaydev Unadkat,Quinton de Kock,Marcus Stoinis,1,0,,,,,24,2
1,3,4,Jaydev Unadkat,Marcus Stoinis,Quinton de Kock,4,0,,,,,28,2
1,3,5,Jaydev Unadkat,Marcus Stoinis,Quinton de Kock,1,0,,,,,29,2
1,3,6,Jaydev Unadkat,Quinton de Kock,Marcus Stoinis,1,0,,,,,30,2
1,4,1,Jaydev Unadkat,Quinton de Kock,Marcus Stoinis,0,0,,,,,30,2
1,4,2,Jaydev Unadkat,Quinton de Kock,Marcus Stoinis,2,0,,,,,32,2
1,4,3,Jaydev Unadkat,Quinton de Kock,Marcus Stoinis,2,0,,,,,34,2
1,4,4,Jaydev Unadkat,Quinton de Kock,Marcus Stoinis,2,0,,,,,36,2
1,4,5,Jaydev Unadkat,Quinton de Kock,Marcus Stoinis,0,0,,,,,36,2
1,4,6,Jaydev Unadkat,Quinton de Kock,Marcus Stoinis,0,1,noball,,,,37,2
1,4,6,Jaydev Unadkat,Quinton de Kock,Marcus Stoinis,0,0,,,,,37,2
1,5,1,Pat Cummins,Marcus Stoinis,Quinton de Kock,4,0,,,,,41,2
1,5,2,Pat Cummins,Marcus Stoinis,Quinton de Kock,3,0,,,,,44,2
1,5,3,Pat Cummins,Quinton de Kock,Marcus Stoinis,0,0,,,,,44,2
1,5,4,Pat Cummins,Quinton de Kock,Marcus Stoinis,0,0,,,,,44,2
1,5,5,Pat Cummins,Quinton de Kock,Marcus Stoinis,0,1,legbye,,,,45,2
1,5,6,Pat Cummins,Quinton de Kock,Marcus Stoinis,2,0,,,,,47,2
1,6,1,Pat Cummins,Marcus Stoinis,Quinton de Kock,0,0,,run out,Quinton de Kock,Shahbaz Ahmed,47,3
1,6,2,Pat Cummins,Marcus Stoinis,Ayush Badoni,1,0,,,,,48,3
1,6,3,Pat Cummins,Ayush Badoni,Marcus Stoinis,0,0,,,,,48,3
1,6,4,Pat Cummins,Ayush Badoni,Marcus Stoinis,0,0,,,,,48,3
1,6,5,Pat Cummins,Ayush Badoni,Marcus Stoinis,4,0,,,,,52,3
1,6,6,Pat Cummins,Ayush Badoni,Marcus Stoinis,1,0,,,,,53,3
1,7,1,Pat Cummins,Ayush Badoni,Marcus Stoinis,1,0,,,,,54,3
1,7,2,Pat Cummins,Marcus Stoinis,Ayush Badoni,6,0,,,,,60,3
1,7,3,Pat Cummins,Marcus Stoinis,Ayush Badoni,2,0,,,,,62,3
1,7,4,Pat Cummins,Marcus Stoinis,Ayush Badoni,1,0,,,,,63,3
1,7,5,Pat Cummins,Ayush Badoni,Marcus Stoinis,0,0,,caught,Ayush Badoni,Heinrich Klaasen,63,4
1,7,6,Pat Cummins,Deepak Hooda,Marcus Stoinis,4,0,,,,,67,4
1,8,1,Shahbaz Ahmed,Marcus Stoinis,Deepak Hooda,6,0,,,,,73,4
1,8,2,Shahbaz Ahmed,Marcus Stoinis,Deepak Hooda,2,0,,,,,75,4
1,8,3,Shahbaz Ahmed,Marcus Stoinis,Deepak Hooda,0,0,,,,,75,4
1,8,4,Shahbaz Ahmed,Marcus Stoinis,Deepak Hooda,2,0,,,,,77,4
1,8,5,Shahbaz Ahmed,Marcus Stoinis,Deepak Hooda,6,0,,,,,83,4
1,8,6,Shahbaz Ahmed,Marcus Stoinis,Deepak Hooda,4,0,,,,,87,4
1,9,1,Pat Cummins,Deepak Hooda,Marcus Stoinis,0,0,,,,,87,4
1,9,2,Pat Cummins,Deepak Hooda,Marcus Stoinis,0,1,bye,,,,88,4
1,9,3,Pat Cummins,Deepak Hooda,Marcus Stoinis,3,0,,,,,91,4
1,9,4,Pat Cummins,Marcus Stoinis,Deepak Hooda,1,0,,,,,92,4
1,9,5,Pat Cummins,Deepak Hooda,Marcus Stoinis,4,0,,,,,96,4
1,9,6,Pat Cummins,Deepak Hooda,Marcus Stoinis,4,0,,,,,100,4
1,10,1,Mayank Markande,Marcus Stoinis,Deepak Hooda,1,0,,,,,101,4
1,10,2,Mayank Markande,Deepak Hooda,Marcus Stoinis,4,0,,,,,105,4
1,10,3,Mayank Markande,Deepak Hooda,Marcus Stoinis,1,0,,,,,106,4
1,10,4,Mayank Markande,Marcus Stoinis,Deepak Hooda,2,0,,,,,108,4
1,10,5,Mayank Markande,Marcus Stoinis,Deepak Hooda,3,0,,,,,111,4
1,10,6,Mayank Markande,Deepak Hooda,Marcus Stoinis,6,0,,,,,117,4
1,11,1,Nitish Reddy,Marcus Stoinis,Deepak Hooda,4,0,,,,,121,4
1,11,2,Nitish Reddy,Marcus Stoinis,Deepak Hooda,0,1,legbye,,,,122,4
1,11,3,Nitish Reddy,Marcus Stoinis,Deepak Hooda,0,0,,,,,122,4
1,11,4,Nitish Reddy,Marcus Stoinis,Deepak Hooda,4,0,,,,,126,4
