Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Kuldeep Yadav,Shubman Gill,Sai Sudharsan,0,0,,lbw,Shubman Gill,Tristan Stubbs,0,1
1,0,2,Kuldeep Yadav,Nishant Sindhu,Sai Sudharsan,0,0,,,,,0,1
1,0,3,Kuldeep Yadav,Nishant Sindhu,Sai Sudharsan,0,0,,,,,0,1
1,0,4,Kuldeep Yadav,Nishant Sindhu,Sai Sudharsan,0,0,,,,,0,1
1,0,5,Kuldeep Yadav,Nishant Sindhu,Sai Sudharsan,0,0,,,,,0,1
1,0,6,Kuldeep Yadav,Nishant Sindhu,Sai Sudharsan,2,0,,,,,2,1
1,1,1,Khaleel Ahmed,Sai Sudharsan,Nishant Sindhu,0,0,,,,,2,1
1,1,2,Khaleel Ahmed,Sai Sudharsan,Nishant Sindhu,0,0,,,,,2,1
1,1,3,Khaleel Ahmed,Sai Sudharsan,Nishant Sindhu,1,0,,,,,3,1
1,1,4,Khaleel Ahmed,Nishant Sindhu,Sai Sudharsan,1,0,,,,,4,1
1,1,5,Khaleel Ahmed,Sai Sudharsan,Nishant Sindhu,0,0,,,,,4,1
1,1,6,Khaleel Ahmed,Sai Sudharsan,Nishant Sindhu,0,0,,,,,4,1
1,2,1,Khaleel Ahmed,Nishant Sindhu,Sai Sudharsan,0,0,,,,,4,1
1,2,2,Khaleel Ahmed,Nishant Sindhu,Sai Sudharsan,4,0,,,,,8,1
1,2,3,Khaleel Ahmed,Nishant Sindhu,Sai Sudharsan,0,0,,,,,8,1
1,2,4,Khaleel Ahmed,Nishant Sindhu,Sai Sudharsan,0,0,,stumped,Nishant Sindhu,Jake Fraser-McGurk,8,2
1,2,5,Khaleel Ahmed,Jos Buttler,Sai Sudharsan,0,0,,bowled,Jos Buttler,Tristan Stubbs,8,3
1,2,6,Khaleel Ahmed,Washington Sundar,Sai Sudharsan,0,0,,,,,8,3
1,3,1,Kuldeep Yadav,Sai Sudharsan,Washington Sundar,2,0,,,,,10,3
1,3,2,Kuldeep Yadav,Sai Sudharsan,Washington Sundar,0,0,,,,,10,3
1,3,3,Kuldeep Yadav,Sai Sudharsan,Washington Sundar,1,0,,,,,11,3
1,3,4,Kuldeep Yadav,Washington Sundar,Sai Sudharsan,0,0,,,,,11,3
1,3,5,Kuldeep Yadav,Washington Sundar,Sai Sudharsan,0,0,,lbw,Washington Sundar,Prithvi Shaw,11,4
1,3,6,Kuldeep Yadav,Arshad Khan,Sai Sudharsan,0,0,,,,,11,4
1,4,1,Khaleel Ahmed,Sai Sudharsan,Arshad Khan,2,0,,,,,13,4
1,4,2,Khaleel Ahmed,Sai Sudharsan,Arshad Khan,0,0,,,,,13,4
1,4,3,Khaleel Ahmed,Sai Sudharsan,Arshad Khan,1,0,,,,,14,4
1,4,4,Khaleel Ahmed,Arshad Khan,Sai Sudharsan,3,0,,,,,17,4
1,4,5,Khaleel Ahmed,Sai Sudharsan,Arshad Khan,3,0,,,,,20,4
1,4,6,Khaleel Ahmed,Arshad Khan,Sai Sudharsan,0,0,,,,,20,4
1,5,1,Mukesh Kumar,Sai Sudharsan,Arshad Khan,1,0,,,,,21,4
1,5,2,Mukesh Kumar,Arshad Khan,Sai Sudharsan,0,0,,,,,21,4
1,5,3,Mukesh Kumar,Arshad Khan,Sai Sudharsan,1,0,,,,,22,4
1,5,4,Mukesh Kumar,Sai Sudharsan,Arshad Khan,1,0,,,,,23,4
1,5,5,Mukesh Kumar,Arshad Khan,Sai Sudharsan,0,1,legbye,,,,24,4
1,5,6,Mukesh Kumar,Arshad Khan,Sai Sudharsan,0,0,,caught,Arshad Khan,Tristan Stubbs,24,5
1,6,1,Khaleel Ahmed,Sai Sudharsan,Rahul Tewatia,6,0,,,,,30,5
1,6,2,Khaleel Ahmed,Sai Sudharsan,Rahul Tewatia,0,0,,,,,30,5
1,6,3,Khaleel Ahmed,Sai Sudharsan,Rahul Tewatia,0,0,,,,,30,5
1,6,4,Khaleel Ahmed,Sai Sudharsan,Rahul Tewatia,2,0,,,,,32,5
1,6,5,Khaleel Ahmed,Sai Sudharsan,Rahul Tewatia,0,0,,,,,32,5
1,6,6,Khaleel Ahmed,Sai Sudharsan,Rahul Tewatia,2,0,,,,,34,5
1,7,1,Axar Patel,Rahul Tewatia,Sai Sudharsan,0,0,,,,,34,5
1,7,2,Axar Patel,Rahul Tewatia,Sai Sudharsan,0,0,,,,,34,5
1,7,3,Axar Patel,Rahul Tewatia,Sai Sudharsan,0,0,,lbw,Rahul Tewatia,Tristan Stubbs,34,6
1,7,4,Axar Patel,Jason Holder,Sai Sudharsan,0,0,,,,,34,6
1,7,5,Axar Patel,Jason Holder,Sai Sudharsan,6,0,,,,,40,6
1,7,6,Axar Patel,Jason Holder,Sai Sudharsan,0,0,,,,,40,6
1,8,1,Kuldeep Yadav,Sai Sudharsan,Jason Holder,6,0,,,,,46,6
1,8,2,Kuldeep Yadav,Sai Sudharsan,Jason Holder,4,0,,,,,50,6
1,8,3,Kuldeep Yadav,Sai Sudharsan,Jason Holder,0,0,,,,,50,6
1,8,4,Kuldeep Yadav,Sai Sudharsan,Jason Holder,1,0,,,,,51,6
1,8,5,Kuldeep Yadav,Jason Holder,Sai Sudharsan,0,1,noball,,,,52,6
1,8,5,Kuldeep Yadav,Jason Holder,Sai Sudharsan,0,0,,,,,52,6
1,8,6,Kuldeep Yadav,Jason Holder,Sai Sudharsan,0,1,noball,,,,53,6
1,8,6,Kuldeep Yadav,Jason Holder,Sai Sudharsan,0,0,,,,,53,6
1,9,1,Axar Patel,Sai Sudharsan,Jason Holder,0,0,,,,,53,6
1,9,2,Axar Patel,Sai Sudharsan,Jason Holder,0,0,,stumped,Sai Sudharsan,Rishabh Pant,53,7
1,9,3,Axar Patel,Rashid Khan,Jason Holder,1,0,,,,,54,7
1,9,4,Axar Patel,Jason Holder,Rashid Khan,6,0,,,,,60,7
1,9,5,Axar Patel,Jason Holder,Rashid Khan,0,0,,,,,60,7
1,9,6,Axar Patel,Jason Holder,Rashid Khan,1,0,,,,,61,7
1,10,1,Axar Patel,Jason Holder,Rashid Khan,0,0,,,,,61,7
1,10,2,Axar Patel,Jason Holder,Rashid Khan,0,0,,,,,61,7
1,10,3,Axar Patel,Jason Holder,Rashid Khan,0,1,wide,,,,62,7
1,10,3,Axar Patel,Jason Holder,Rashid Khan,0,0,,,,,62,7
1,10,4,Axar Patel,Jason Holder,Rashid Khan,4,0,,,,,66,7
1,10,5,Axar Patel,Jason Holder,Rashid Khan,1,0,,,,,67,7
1,10,6,Axar Patel,Rashid Khan,Jason Holder,0,0,,,,,67,7
1,11,1,Axar Patel,Jason Holder,Rashid Khan,6,0,,,,,73,7
1,11,2,Axar Patel,Jason Holder,Rashid Khan,1,0,,,,,74,7
1,11,3,Axar Patel,Rashid Khan,Jason Holder,0,0,,lbw,Rashid Khan,Abishek Porel,74,8
1,12,1,Khaleel Ahmed,Jason Holder,Rashid Khan,3,0,,,,,77,8
1,12,2,Khaleel Ahmed,Rashid Khan,Jason Holder,0,0,,,,,77,8
1,12,3,Khaleel Ahmed,Rashid Khan,Jason Holder,0,0,,,,,77,8
1,12,4,Khaleel Ahmed,Rashid Khan,Jason Holder,1,0,,,,,78,8
1,12,5,Khaleel Ahmed,Jason Holder,Rashid Khan,6,0,,,,,84,8
1,12,6,Khaleel Ahmed,Jason Holder,Rashid Khan,0,0,,,,,84,8
1,13,1,Axar Patel,Rashid Khan,Jason Holder,0,0,,,,,84,8
1,13,2,Axar Patel,Rashid Khan,Jason Holder,0,0,,,,,84,8
1,13,3,Axar Patel,Rashid Khan,Jason Holder,1,0,,,,,85,8
1,13,4,Axar Patel,Jason Holder,Rashid Khan,1,0,,,,,86,8
1,13,5,Axar Patel,Rashid Khan,Jason Holder,6,0,,,,,92,8
1,13,6,Axar Patel,Rashid Khan,Jason Holder,1,0,,,,,93,8
1,14,1,Khaleel Ahmed,Rashid Khan,Jason Holder,4,0,,,,,97,8
1,14,2,Khaleel Ahmed,Rashid Khan,Jason Holder,1,0,,,,,98,8
1,14,3,Khaleel Ahmed,Jason Holder,Rashid Khan,2,0,,,,,100,8
1,14,4,Khaleel Ahmed,Jason Holder,Rashid Khan,2,0,,,,,102,8
1,14,5,Khaleel Ahmed,Jason Holder,Rashid Khan,2,0,,,,,104,8
1,14,6,Khaleel Ahmed,Jason Holder,Rashid Khan,0,0,,,,,104,8
1,15,1,Anrich Nortje,Rashid Khan,Jason Holder,0,0,,,,,104,8
1,15,2,Anrich Nortje,Rashid Khan,Jason Holder,2,0,,,,,106,8
1,15,3,Anrich Nortje,Rashid Khan,Jason Holder,0,0,,,,,106,8
1,15,4,Anrich Nortje,Rashid Khan,Jason Holder,0,0,,,,,106,8
1,15,5,Anrich Nortje,Rashid Khan,Jason Holder,1,0,,,,,107,8
1,15,6,Anrich Nortje,Jason Holder,Rashid Khan,3,0,,,,,110,8
1,16,1,Axar Patel,Jason Holder,Rashid Khan,2,0,,,,,112,8
1,16,2,Axar Patel,Jason Holder,Rashid Khan,3,0,,,,,115,8
1,16,3,Axar Patel,Rashid Khan,Jason Holder,0,0,,,,,115,8
1,16,4,Axar Patel,Rashid Khan,Jason Holder,1,0,,,,,116,8
1,16,5,Axar Patel,Jason Holder,Rashid Khan,0,0,,,,,116,8
1,16,6,Axar Patel,Jason Holder,Rashid Khan,0,0,,,,,116,8
1,17,1,Axar Patel,Rashid Khan,Jason Holder,0,0,,run out,Jason Holder,Jake Fraser-McGurk,116,9
1,18,1,Anrich Nortje,Jason Holder,Rashid Khan,0,0,,,,,116,9
1,18,2,Anrich Nortje,Jason Holder,Rashid Khan,0,0,,,,,116,9
1,18,3,Anrich Nortje,Jason Holder,Rashid Khan,2,0,,,,,118,9
1,18,4,Anrich Nortje,Jason Holder,Rashid Khan,0,0,,,,,118,9
1,18,5,Anrich Nortje,Jason Holder,Rashid Khan,0,0,,,,,118,9
1,18,6,Anrich Nortje,Jason Holder,Rashid Khan,0,0,,,,,118,9
1,19,1,Anrich Nortje,Rashid Khan,Jason Holder,0,0,,,,,118,9
1,19,2,Anrich Nortje,Rashid Khan,Jason Holder,2,0,,,,,120,9
1,19,3,Anrich Nortje,Rashid Khan,Jason Holder,0,1,legbye,,,,121,9
