Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Washington Sundar,Ruturaj Gaikwad,Rachin Ravindra,1,0,,,,,1,0
1,0,2,Washington Sundar,Rachin Ravindra,Ruturaj Gaikwad,2,0,,,,,3,0
1,0,3,Washington Sundar,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,3,0
1,0,4,Washington Sundar,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,3,0
1,0,5,Washington Sundar,Rachin Ravindra,Ruturaj Gaikwad,2,0,,,,,5,0
1,0,6,Washington Sundar,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,5,0
1,1,1,Arshad Khan,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,5,0
1,1,2,Arshad Khan,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,5,0
1,1,3,Arshad Khan,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,5,0
1,1,4,Arshad Khan,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,5,0
1,1,5,Arshad Khan,Ruturaj Gaikwad,Rachin Ravindra,0,1,bye,,,,6,0
1,1,6,Arshad Khan,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,6,0
1,2,1,Washington Sundar,Rachin Ravindra,Ruturaj Gaikwad,2,0,,,,,8,0
1,2,2,Washington Sundar,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,8,0
1,2,3,Washington Sundar,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,8,0
1,2,4,Washington Sundar,Rachin Ravindra,Ruturaj Gaikwad,1,0,,,,,9,0
1,2,5,Washington Sundar,Ruturaj Gaikwad,Rachin Ravindra,1,0,,,,,10,0
1,2,6,Washington Sundar,Rachin Ravindra,Ruturaj Gaikwad,2,0,,,,,12,0
1,3,1,Kagiso Rabada,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,12,0
1,3,2,Kagiso Rabada,Ruturaj Gaikwad,Rachin Ravindra,4,0,,,,,16,0
1,3,3,Kagiso Rabada,Ruturaj Gaikwad,Rachin Ravindra,4,0,,,,,20,0
1,3,4,Kagiso Rabada,Ruturaj Gaikwad,Rachin Ravindra,4,0,,,,,24,0
1,3,5,Kagiso Rabada,Ruturaj Gaikwad,Rachin Ravindra,1,0,,,,,25,0
1,3,6,Kagiso Rabada,Rachin Ravindra,Ruturaj Gaikwad,2,0,,,,,27,0
1,4,1,Washington Sundar,Ruturaj Gaikwad,Rachin Ravindra,0,1,noball,,,,28,0
1,4,1,Washington Sundar,Ruturaj Gaikwad,Rachin Ravindra,1,0,,,,,29,0
1,4,2,Washington Sundar,Rachin Ravindra,Ruturaj Gaikwad,0,1,legbye,,,,30,0
1,4,3,Washington Sundar,Rachin Ravindra,Ruturaj Gaikwad,1,0,,,,,31,0
1,4,4,Washington Sundar,Ruturaj Gaikwad,Rachin Ravindra,2,0,,,,,33,0
1,4,5,Washington Sundar,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,33,0
1,4,6,Washington Sundar,Ruturaj Gaikwad,Rachin Ravindra,2,0,,,,,35,0
1,5,1,Rashid Khan,Rachin Ravindra,Ruturaj Gaikwad,4,0,,,,,39,0
1,5,2,Rashid Khan,Rachin Ravindra,Ruturaj Gaikwad,4,0,,,,,43,0
1,5,3,Rashid Khan,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,43,0
1,5,4,Rashid Khan,Rachin Ravindra,Ruturaj Gaikwad,0,0,,run out,Ruturaj Gaikwad,Jason Holder,43,1
1,5,5,Rashid Khan,Rachin Ravindra,Shivam Dube,2,0,,,,,45,1
1,5,6,Rashid Khan,Rachin Ravindra,Shivam Dube,0,0,,,,,45,1
1,6,1,Jason Holder,Shivam Dube,Rachin Ravindra,0,0,,stumped,Shivam Dube,Arshad Khan,45,2
