Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Tushar Deshpande,Shreyas Iyer,Rinku Singh,0,0,,,,,0,0
1,0,2,Tushar Deshpande,Shreyas Iyer,Rinku Singh,0,0,,,,,0,0
1,0,3,Tushar Deshpande,Shreyas Iyer,Rinku Singh,0,1,bye,,,,1,0
1,0,4,Tushar Deshpande,Shreyas Iyer,Rinku Singh,1,0,,,,,2,0
1,0,5,Tushar Deshpande,Rinku Singh,Shreyas Iyer,3,0,,,,,5,0
1,0,6,Tushar Deshpande,Shreyas Iyer,Rinku Singh,1,0,,,,,6,0
1,1,1,Deepak Chahar,Shreyas Iyer,Rinku Singh,4,0,,,,,10,0
1,1,2,Deepak Chahar,Shreyas Iyer,Rinku Singh,0,0,,,,,10,0
1,1,3,Deepak Chahar,Shreyas Iyer,Rinku Singh,0,0,,,,,10,0
1,1,4,Deepak Chahar,Shreyas Iyer,Rinku Singh,0,0,,,,,10,0
1,1,5,Deepak Chahar,Shreyas Iyer,Rinku Singh,0,0,,,,,10,0
1,1,6,Deepak Chahar,Shreyas Iyer,Rinku Singh,0,0,,,,,10,0
1,2,1,Deepak Chahar,Rinku Singh,Shreyas Iyer,0,0,,,,,10,0
1,2,2,Deepak Chahar,Rinku Singh,Shreyas Iyer,3,0,,,,,13,0
1,2,3,Deepak Chahar,Shreyas Iyer,Rinku Singh,4,0,,,,,17,0
1,2,4,Deepak Chahar,Shreyas Iyer,Rinku Singh,0,1,bye,,,,18,0
1,2,5,Deepak Chahar,Shreyas Iyer,Rinku Singh,0,0,,run out,Shreyas Iyer,Mitchell Santner,18,1
1,2,6,Deepak Chahar,Sunil Narine,Rinku Singh,0,0,,,,,18,1
1,3,1,Matheesha Pathirana,Rinku Singh,Sunil Narine,1,0,,,,,19,1
