Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Yuzvendra Chahal,Shubman Gill,Sai Sudharsan,0,0,,caught,Shubman Gill,Ravichandran Ashwin,0,1
1,0,2,Yuzvendra Chahal,Nishant Sindhu,Sai Sudharsan,1,0,,,,,1,1
1,0,3,Yuzvendra Chahal,Sai Sudharsan,Nishant Sindhu,2,0,,,,,3,1
1,0,4,Yuzvendra Chahal,Sai Sudharsan,Nishant Sindhu,4,0,,,,,7,1
1,0,5,Yuzvendra Chahal,Sai Sudharsan,Nishant Sindhu,0,0,,,,,7,1
1,0,6,Yuzvendra Chahal,Sai Sudharsan,Nishant Sindhu,2,0,,,,,9,1
1,1,1,Trent Boult,Nishant Sindhu,Sai Sudharsan,0,0,,,,,9,1
1,1,2,Trent Boult,Nishant Sindhu,Sai Sudharsan,0,0,,,,,9,1
1,1,3,Trent Boult,Nishant Sindhu,Sai Sudharsan,4,0,,,,,13,1
1,1,4,Trent Boult,Nishant Sindhu,Sai Sudharsan,1,0,,,,,14,1
1,1,5,Trent Boult,Sai Sudharsan,Nishant Sindhu,1,0,,,,,15,1
1,1,6,Trent Boult,Nishant Sindhu,Sai Sudharsan,1,0,,,,,16,1
1,2,1,Ravichandran Ashwin,Nishant Sindhu,Sai Sudharsan,0,0,,,,,16,1
1,2,2,Ravichandran Ashwin,Nishant Sindhu,Sai Sudharsan,0,0,,,,,16,1
1,2,3,Ravichandran Ashwin,Nishant Sindhu,Sai Sudharsan,0,0,,,,,16,1
1,2,4,Ravichandran Ashwin,Nishant Sindhu,Sai Sudharsan,3,0,,,,,19,1
1,2,5,Ravichandran Ashwin,Sai Sudharsan,Nishant Sindhu,0,1,wide,,,,20,1
1,2,5,Ravichandran Ashwin,Sai Sudharsan,Nishant Sindhu,0,1,noball,,,,21,1
1,2,5,Ravichandran Ashwin,Sai Sudharsan,Nishant Sindhu,1,0,,,,,22,1
1,2,6,Ravichandran Ashwin,Nishant Sindhu,Sai Sudharsan,0,0,,,,,22,1
1,3,1,Yuzvendra Chahal,Sai Sudharsan,Nishant Sindhu,2,0,,,,,24,1
1,3,2,Yuzvendra Chahal,Sai Sudharsan,Nishant Sindhu,0,0,,,,,24,1
1,3,3,Yuzvendra Chahal,Sai Sudharsan,Nishant Sindhu,4,0,,,,,28,1
1,3,4,Yuzvendra Chahal,Sai Sudharsan,Nishant Sindhu,0,0,,,,,28,1
1,3,5,Yuzvendra Chahal,Sai Sudharsan,Nishant Sindhu,0,1,legbye,,,,29,1
1,3,6,Yuzvendra Chahal,Sai Sudharsan,Nishant Sindhu,1,0,,,,,30,1
1,4,1,Trent Boult,Sai Sudharsan,Nishant Sindhu,1,0,,,,,31,1
1,4,2,Trent Boult,Nishant Sindhu,Sai Sudharsan,0,0,,,,,31,1
1,4,3,Trent Boult,Nishant Sindhu,Sai Sudharsan,1,0,,,,,32,1
1,4,4,Trent Boult,Sai Sudharsan,Nishant Sindhu,2,0,,,,,34,1
1,4,5,Trent Boult,Sai Sudharsan,Nishant Sindhu,0,1,bye,,,,35,1
1,4,6,Trent Boult,Sai Sudharsan,Nishant Sindhu,3,0,,,,,38,1
1,5,1,Yuzvendra Chahal,Sai Sudharsan,Nishant Sindhu,1,0,,,,,39,1
1,5,2,Yuzvendra Chahal,Nishant Sindhu,Sai Sudharsan,1,0,,,,,40,1
1,5,3,Yuzvendra Chahal,Sai Sudharsan,Nishant Sindhu,0,0,,stumped,Sai Sudharsan,Riyan Parag,40,2
1,5,4,Yuzvendra Chahal,Jos Buttler,Nishant Sindhu,2,0,,,,,42,2
1,5,5,Yuzvendra Chahal,Jos Buttler,Nishant Sindhu,3,0,,,,,45,2
1,5,6,Yuzvendra Chahal,Nishant Sindhu,Jos Buttler,1,0,,,,,46,2
