Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Marcus Stoinis,Ruturaj Gaikwad,Rachin Ravindra,1,0,,,,,1,0
1,0,2,Marcus Stoinis,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,1,0
1,0,3,Marcus Stoinis,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,1,0
1,0,4,Marcus Stoinis,Rachin Ravindra,Ruturaj Gaikwad,4,0,,,,,5,0
1,0,5,Marcus Stoinis,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,5,0
1,0,6,Marcus Stoinis,Rachin Ravindra,Ruturaj Gaikwad,1,0,,,,,6,0
1,1,1,Ravi Bishnoi,Rachin Ravindra,Ruturaj Gaikwad,3,0,,,,,9,0
1,1,2,Ravi Bishnoi,Ruturaj Gaikwad,Rachin Ravindra,1,0,,,,,10,0
1,1,3,Ravi Bishnoi,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,10,0
1,1,4,Ravi Bishnoi,Rachin Ravindra,Ruturaj Gaikwad,0,1,wide,,,,11,0
1,1,4,Ravi Bishnoi,Rachin Ravindra,Ruturaj Gaikwad,3,0,,,,,14,0
1,1,5,Ravi Bishnoi,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,14,0
1,1,6,Ravi Bishnoi,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,14,0
1,2,1,Marcus Stoinis,Rachin Ravindra,Ruturaj Gaikwad,4,0,,,,,18,0
1,2,2,Marcus Stoinis,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,18,0
1,2,3,Marcus Stoinis,Rachin Ravindra,Ruturaj Gaikwad,0,1,bye,,,,19,0
1,2,4,Marcus Stoinis,Rachin Ravindra,Ruturaj Gaikwad,1,0,,,,,20,0
1,2,5,Marcus Stoinis,Ruturaj Gaikwad,Rachin Ravindra,0,0,,,,,20,0
1,2,6,Marcus Stoinis,Ruturaj Gaikwad,Rachin Ravindra,0,1,bye,,,,21,0
1,3,1,Yash Thakur,Rachin Ravindra,Ruturaj Gaikwad,6,0,,,,,27,0
1,3,2,Yash Thakur,Rachin Ravindra,Ruturaj Gaikwad,4,0,,,,,31,0
1,3,3,Yash Thakur,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,31,0
1,3,4,Yash Thakur,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,31,0
1,3,5,Yash Thakur,Rachin Ravindra,Ruturaj Gaikwad,6,0,,,,,37,0
1,3,6,Yash Thakur,Rachin Ravindra,Ruturaj Gaikwad,3,0,,,,,40,0
1,4,1,Yash Thakur,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,40,0
1,4,2,Yash Thakur,Rachin Ravindra,Ruturaj Gaikwad,4,0,,,,,44,0
1,4,3,Yash Thakur,Rachin Ravindra,Ruturaj Gaikwad,4,0,,,,,48,0
1,4,4,Yash Thakur,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,48,0
1,4,5,Yash Thakur,Rachin Ravindra,Ruturaj Gaikwad,0,0,,,,,48,0
1,4,6,Yash Thakur,Rachin Ravindra,Ruturaj Gaikwad,1,0,,,,,49,0
1,5,1,Mohsin Khan,Rachin Ravindra,Ruturaj Gaikwad,1,0,,,,,50,0
