Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Anrich Nortje,Shikhar Dhawan,Jonny Bairstow,0,0,,,,,0,0
1,0,2,Anrich Nortje,Shikhar Dhawan,Jonny Bairstow,0,0,,,,,0,0
1,0,3,Anrich Nortje,Shikhar Dhawan,Jonny Bairstow,0,0,,,,,0,0
1,0,4,Anrich Nortje,Shikhar Dhawan,Jonny Bairstow,0,0,,,,,0,0
1,0,5,Anrich Nortje,Shikhar Dhawan,Jonny Bairstow,0,0,,lbw,Shikhar Dhawan,Jake Fraser-McGurk,0,1
1,0,6,Anrich Nortje,Liam Livingstone,Jonny Bairstow,2,0,,,,,2,1
1,1,1,Axar Patel,Jonny Bairstow,Liam Livingstone,2,0,,,,,4,1
1,1,2,Axar Patel,Jonny Bairstow,Liam Livingstone,0,1,legbye,,,,5,1
1,1,3,Axar Patel,Jonny Bairstow,Liam Livingstone,1,0,,,,,6,1
1,1,4,Axar Patel,Liam Livingstone,Jonny Bairstow,2,0,,,,,8,1
1,1,5,Axar Patel,Liam Livingstone,Jonny Bairstow,0,0,,,,,8,1
1,1,6,Axar Patel,Liam Livingstone,Jonny Bairstow,1,0,,,,,9,1
1,2,1,Kuldeep Yadav,Liam Livingstone,Jonny Bairstow,3,0,,,,,12,1
1,2,2,Kuldeep Yadav,Jonny Bairstow,Liam Livingstone,4,0,,,,,16,1
1,2,3,Kuldeep Yadav,Jonny Bairstow,Liam Livingstone,2,0,,,,,18,1
1,2,4,Kuldeep Yadav,Jonny Bairstow,Liam Livingstone,6,0,,,,,24,1
1,2,5,Kuldeep Yadav,Jonny Bairstow,Liam Livingstone,1,0,,,,,25,1
1,2,6,Kuldeep Yadav,Liam Livingstone,Jonny Bairstow,0,0,,,,,25,1
1,3,1,Anrich Nortje,Jonny Bairstow,Liam Livingstone,3,0,,,,,28,1
1,3,2,Anrich Nortje,Liam Livingstone,Jonny Bairstow,4,0,,,,,32,1
1,3,3,Anrich Nortje,Liam Livingstone,Jonny Bairstow,0,0,,bowled,Liam Livingstone,Tristan Stubbs,32,2
1,3,4,Anrich Nortje,Sam Curran,Jonny Bairstow,1,0,,,,,33,2
