Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Bhuvneshwar Kumar,Shubman Gill,Sai Sudharsan,0,0,,,,,0,0
1,0,2,Bhuvneshwar Kumar,Shubman Gill,Sai Sudharsan,1,0,,,,,1,0
1,0,3,Bhuvneshwar Kumar,Sai Sudharsan,Shubman Gill,4,0,,,,,5,0
1,0,4,Bhuvneshwar Kumar,Sai Sudharsan,Shubman Gill,0,0,,,,,5,0
1,0,5,Bhuvneshwar Kumar,Sai Sudharsan,Shubman Gill,1,0,,,,,6,0
1,0,6,Bhuvneshwar Kumar,Shubman Gill,Sai Sudharsan,2,0,,,,,8,0
1,1,1,Josh Hazlewood,Sai Sudharsan,Shubman Gill,0,0,,,,,8,0
1,1,2,Josh Hazlewood,Sai Sudharsan,Shubman Gill,4,0,,,,,12,0
1,1,3,Josh Hazlewood,Sai Sudharsan,Shubman Gill,1,0,,,,,13,0
1,1,4,Josh Hazlewood,Shubman Gill,Sai Sudharsan,4,0,,,,,17,0
1,1,5,Josh Hazlewood,Shubman Gill,Sai Sudharsan,0,0,,,,,17,0
1,1,6,Josh Hazlewood,Shubman Gill,Sai Sudharsan,1,0,,,,,18,0
1,2,1,Bhuvneshwar Kumar,Shubman Gill,Sai Sudharsan,4,0,,,,,22,0
1,2,2,Bhuvneshwar Kumar,Shubman Gill,Sai Sudharsan,0,0,,caught,Shubman Gill,Rajat Patidar,22,1
1,2,3,Bhuvneshwar Kumar,Nishant Sindhu,Sai Sudharsan,0,0,,,,,22,1
1,2,4,Bhuvneshwar Kumar,Nishant Sindhu,Sai Sudharsan,1,0,,,,,23,1
1,2,5,Bhuvneshwar Kumar,Sai Sudharsan,Nishant Sindhu,0,0,,,,,23,1
1,2,6,Bhuvneshwar Kumar,Sai Sudharsan,Nishant Sindhu,2,0,,,,,25,1
1,3,1,Josh Hazlewood,Nishant Sindhu,Sai Sudharsan,0,0,,,,,25,1
1,3,2,Josh Hazlewood,Nishant Sindhu,Sai Sudharsan,1,0,,,,,26,1
1,3,3,Josh Hazlewood,Sai Sudharsan,Nishant Sindhu,0,0,,,,,26,1
