match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,team_score
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,0.1,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Abhishek Sharma,JA Duffy,0,0,,,,,,,,,,0/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,0.2,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Abhishek Sharma,JA Duffy,1,0,,,,,,,,,,1/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,0.3,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,JA Duffy,0,0,,,,,,,,,,1/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,0.4,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,JA Duffy,6,0,,,,,,,,,,7/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,0.5,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,JA Duffy,0,0,,,,,,,,,,7/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,0.6,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,JA Duffy,0,0,,,,,,,,,,7/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,1.1,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Abhishek Sharma,B Kumar,1,0,,,,,,,,,,8/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,1.2,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,B Kumar,1,0,,,,,,,,,,9/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,1.3,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Abhishek Sharma,B Kumar,1,0,,,,,,,,,,10/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,1.4,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,B Kumar,0,1,1,,,,,,,,,11/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,1.4,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,B Kumar,0,0,,,,,,,,,,11/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,1.5,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,B Kumar,0,1,1,,,,,,,,,12/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,1.5,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,B Kumar,0,1,,,,1,,,,,,13/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,1.6,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Abhishek Sharma,B Kumar,4,0,,,,,,,,,,17/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,2.1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,JA Duffy,0,1,1,,,,,,,,,18/0
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,2.1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,JA Duffy,0,0,,,,,,caught,Abhishek Sharma,,,18/1
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,2.2,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,TM Head,JA Duffy,1,0,,,,,,,,,,19/1
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,2.3,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Ishan Kishan,JA Duffy,0,0,,,,,,,,,,19/1
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,2.4,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Ishan Kishan,JA Duffy,0,0,,,,,,,,,,19/1
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,2.5,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Ishan Kishan,JA Duffy,4,0,,,,,,,,,,23/1
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,2.6,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Ishan Kishan,JA Duffy,0,0,,,,,,caught,TM Head,,,23/2
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,3.1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,Nithish Kumar Reddy,B Kumar,4,0,,,,,,,,,,27/2
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,3.2,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,Nithish Kumar Reddy,B Kumar,1,0,,,,,,,,,,28/2
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,3.3,Sunrisers Hyderabad,Royal Challengers Bengaluru,Nithish Kumar Reddy,Ishan Kishan,B Kumar,0,0,,,,,,,,,,28/2
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,3.4,Sunrisers Hyderabad,Royal Challengers Bengaluru,Nithish Kumar Reddy,Ishan Kishan,B Kumar,0,0,,,,,,,,,,28/2
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,3.5,Sunrisers Hyderabad,Royal Challengers Bengaluru,Nithish Kumar Reddy,Ishan Kishan,B Kumar,0,0,,,,,,,,,,28/2
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,3.6,Sunrisers Hyderabad,Royal Challengers Bengaluru,Nithish Kumar Reddy,Ishan Kishan,B Kumar,1,0,,,,,,,,,,29/2
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,4.1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Nithish Kumar Reddy,Ishan Kishan,JA Duffy,0,0,,,,,,,,,,29/2
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,4.2,Sunrisers Hyderabad,Royal Challengers Bengaluru,Nithish Kumar Reddy,Ishan Kishan,JA Duffy,0,0,,,,,,caught,Nithish Kumar Reddy,,,29/3
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,4.3,Sunrisers Hyderabad,Royal Challengers Bengaluru,H Klaasen,Ishan Kishan,JA Duffy,0,0,,,,,,,,,,29/3
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,4.4,Sunrisers Hyderabad,Royal Challengers Bengaluru,H Klaasen,Ishan Kishan,JA Duffy,3,0,,,,,,,,,,32/3
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,4.5,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,H Klaasen,JA Duffy,1,0,,,,,,,,,,33/3
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,4.6,Sunrisers Hyderabad,Royal Challengers Bengaluru,H Klaasen,Ishan Kishan,JA Duffy,0,0,,,,,,,,,,33/3
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,5.1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,H Klaasen,Abhinandan Singh,0,0,,,,,,,,,,33/3
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,5.2,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,H Klaasen,Abhinandan Singh,6,0,,,,,,,,,,39/3
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,5.3,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,H Klaasen,Abhinandan Singh,4,0,,,,,,,,,,43/3
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,5.4,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,H Klaasen,Abhinandan Singh,6,0,,,,,,,,,,49/3
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,5.5,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,H Klaasen,Abhinandan Singh,0,0,,,,,,,,,,49/3
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,5.6,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,H Klaasen,Abhinandan Singh,0,0,,,,,,,,,,49/3
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,6.1,Sunrisers Hyderabad,Royal Challengers Bengaluru,H Klaasen,Ishan Kishan,JA Duffy,1,0,,,,,,,,,,50/3
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,6.2,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,H Klaasen,JA Duffy,1,0,,,,,,,,,,51/3
1,2026,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,6.3,Sunrisers Hyderabad,Royal Challengers Bengaluru,H Klaasen,Ishan Kishan,JA Duffy,1,0,,,,,,,,,,52/3
