match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,team_score
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,0.1,Mumbai Indians,Delhi Capitals,RD Rickelton,RG Sharma,Mukesh Kumar,4,0,,,,,,,,,,4/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,0.2,Mumbai Indians,Delhi Capitals,RD Rickelton,RG Sharma,Mukesh Kumar,0,0,,,,,,,,,,4/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,0.3,Mumbai Indians,Delhi Capitals,RD Rickelton,RG Sharma,Mukesh Kumar,0,0,,,,,,,,,,4/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,0.4,Mumbai Indians,Delhi Capitals,RD Rickelton,RG Sharma,Mukesh Kumar,4,0,,,,,,,,,,8/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,0.5,Mumbai Indians,Delhi Capitals,RD Rickelton,RG Sharma,Mukesh Kumar,0,0,,,,,,,,,,8/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,0.6,Mumbai Indians,Delhi Capitals,RD Rickelton,RG Sharma,Mukesh Kumar,0,0,,,,,,,,,,8/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,1.1,Mumbai Indians,Delhi Capitals,RG Sharma,RD Rickelton,L Ngidi,4,0,,,,,,,,,,12/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,1.2,Mumbai Indians,Delhi Capitals,RG Sharma,RD Rickelton,L Ngidi,0,0,,,,,,,,,,12/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,1.3,Mumbai Indians,Delhi Capitals,RG Sharma,RD Rickelton,L Ngidi,4,0,,,,,,,,,,16/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,1.4,Mumbai Indians,Delhi Capitals,RG Sharma,RD Rickelton,L Ngidi,1,0,,,,,,,,,,17/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,1.5,Mumbai Indians,Delhi Capitals,RD Rickelton,RG Sharma,L Ngidi,0,0,,,,,,,,,,17/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,1.6,Mumbai Indians,Delhi Capitals,RD Rickelton,RG Sharma,L Ngidi,1,0,,,,,,,,,,18/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,2.1,Mumbai Indians,Delhi Capitals,RD Rickelton,RG Sharma,Mukesh Kumar,0,0,,,,,,,,,,18/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,2.2,Mumbai Indians,Delhi Capitals,RD Rickelton,RG Sharma,Mukesh Kumar,0,0,,,,,,,,,,18/0
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,2.3,Mumbai Indians,Delhi Capitals,RD Rickelton,RG Sharma,Mukesh Kumar,0,0,,,,,,caught,RD Rickelton,,,18/1
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,2.4,Mumbai Indians,Delhi Capitals,Tilak Varma,RG Sharma,Mukesh Kumar,0,0,,,,,,,,,,18/1
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,2.5,Mumbai Indians,Delhi Capitals,Tilak Varma,RG Sharma,Mukesh Kumar,0,0,,,,,,caught and bowled,Tilak Varma,,,18/2
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,2.6,Mumbai Indians,Delhi Capitals,SA Yadav,RG Sharma,Mukesh Kumar,4,0,,,,,,,,,,22/2
8,2026,2026-04-04,"Arun Jaitley Stadium, Delhi",1,3.1,Mumbai Indians,Delhi Capitals,RG Sharma,SA Yadav,AR Patel,1,0,,,,,,,,,,23/2
