match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,team_score
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.1,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,MW Short,0,0,,,,,,,,,,0/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.2,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,MW Short,1,0,,,,,,,,,,1/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.3,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,MW Short,0,0,,,,,,,,,,1/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.4,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,MW Short,1,0,,,,,,,,,,2/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.5,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,MW Short,1,0,,,,,,,,,,3/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.6,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,MW Short,0,1,1,,,,,,,,,4/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.6,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,MW Short,0,0,,,,,,,,,,4/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.1,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,Mukesh Choudhary,6,0,,,,,,,,,,10/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.2,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,Mukesh Choudhary,2,0,,,,,,,,,,12/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.3,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,Mukesh Choudhary,1,0,,,,,,,,,,13/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.4,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,Mukesh Choudhary,0,0,,,,,,,,,,13/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.5,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,Mukesh Choudhary,0,0,,,,,,,,,,13/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.6,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,Mukesh Choudhary,0,1,,,,1,,,,,,14/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.1,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,MW Short,1,0,,,,,,,,,,15/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.2,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,MW Short,6,0,,,,,,,,,,21/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.3,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,MW Short,1,0,,,,,,,,,,22/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.4,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,MW Short,0,0,,,,,,,,,,22/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.5,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,MW Short,0,0,,,,,,,,,,22/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.6,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,MW Short,1,0,,,,,,,,,,23/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.1,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,A Kamboj,6,0,,,,,,,,,,29/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.2,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,A Kamboj,0,0,,,,,,,,,,29/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.3,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,A Kamboj,0,0,,,,,,,,,,29/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.4,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,A Kamboj,1,0,,,,,,,,,,30/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.5,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,A Kamboj,4,0,,,,,,,,,,34/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.6,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,A Kamboj,4,0,,,,,,,,,,38/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.1,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,MW Short,1,0,,,,,,,,,,39/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.2,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,MW Short,4,0,,,,,,,,,,43/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.3,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,MW Short,4,0,,,,,,,,,,47/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.4,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,MW Short,4,0,,,,,,,,,,51/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.5,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,MW Short,6,0,,,,,,,,,,57/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.6,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,TM Head,MW Short,6,0,,,,,,,,,,63/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.1,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,Mukesh Choudhary,4,0,,,,,,,,,,67/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.2,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,Mukesh Choudhary,0,0,,,,,,,,,,67/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.3,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,Mukesh Choudhary,4,0,,,,,,,,,,71/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.4,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,Mukesh Choudhary,4,0,,,,,,,,,,75/0
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.5,Sunrisers Hyderabad,Chennai Super Kings,TM Head,Abhishek Sharma,Mukesh Choudhary,0,0,,,,,,caught,TM Head,,,75/1
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.6,Sunrisers Hyderabad,Chennai Super Kings,Ishan Kishan,Abhishek Sharma,Mukesh Choudhary,0,0,,,,,,caught,Ishan Kishan,,,75/2
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.1,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,H Klaasen,Noor Ahmad,0,4,,,4,,,,,,,79/2
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.2,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,H Klaasen,Noor Ahmad,0,1,1,,,,,,,,,80/2
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.2,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,H Klaasen,Noor Ahmad,1,0,,,,,,,,,,81/2
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.3,Sunrisers Hyderabad,Chennai Super Kings,H Klaasen,Abhishek Sharma,Noor Ahmad,0,0,,,,,,,,,,81/2
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.4,Sunrisers Hyderabad,Chennai Super Kings,H Klaasen,Abhishek Sharma,Noor Ahmad,1,0,,,,,,,,,,82/2
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.5,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,H Klaasen,Noor Ahmad,1,0,,,,,,,,,,83/2
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.6,Sunrisers Hyderabad,Chennai Super Kings,H Klaasen,Abhishek Sharma,Noor Ahmad,0,1,,,,1,,,,,,84/2
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.1,Sunrisers Hyderabad,Chennai Super Kings,H Klaasen,Abhishek Sharma,J Overton,1,0,,,,,,,,,,85/2
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.2,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,H Klaasen,J Overton,4,0,,,,,,,,,,89/2
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.3,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,H Klaasen,J Overton,2,0,,,,,,,,,,91/2
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.4,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,H Klaasen,J Overton,1,0,,,,,,,,,,92/2
27,2026,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.5,Sunrisers Hyderabad,Chennai Super Kings,H Klaasen,Abhishek Sharma,J Overton,0,1,,,,1,,,,,,93/2
