match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,team_score
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,0.1,Punjab Kings,Rajasthan Royals,P Simran Singh,Priyansh Arya,JC Archer,0,0,,,,,,,,,,0/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,0.2,Punjab Kings,Rajasthan Royals,P Simran Singh,Priyansh Arya,JC Archer,4,0,,,,,,,,,,4/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,0.3,Punjab Kings,Rajasthan Royals,P Simran Singh,Priyansh Arya,JC Archer,0,4,,,,4,,,,,,8/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,0.4,Punjab Kings,Rajasthan Royals,P Simran Singh,Priyansh Arya,JC Archer,0,0,,,,,,,,,,8/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,0.5,Punjab Kings,Rajasthan Royals,P Simran Singh,Priyansh Arya,JC Archer,0,0,,,,,,,,,,8/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,0.6,Punjab Kings,Rajasthan Royals,P Simran Singh,Priyansh Arya,JC Archer,0,0,,,,,,,,,,8/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,1.1,Punjab Kings,Rajasthan Royals,Priyansh Arya,P Simran Singh,N Burger,2,0,,,,,,,,,,10/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,1.2,Punjab Kings,Rajasthan Royals,Priyansh Arya,P Simran Singh,N Burger,4,0,,,,,,,,,,14/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,1.3,Punjab Kings,Rajasthan Royals,Priyansh Arya,P Simran Singh,N Burger,6,0,,,,,,,,,,20/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,1.4,Punjab Kings,Rajasthan Royals,Priyansh Arya,P Simran Singh,N Burger,4,0,,,,,,,,,,24/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,1.5,Punjab Kings,Rajasthan Royals,Priyansh Arya,P Simran Singh,N Burger,4,0,,,,,,,,,,28/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,1.6,Punjab Kings,Rajasthan Royals,Priyansh Arya,P Simran Singh,N Burger,1,0,,,,,,,,,,29/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,2.1,Punjab Kings,Rajasthan Royals,Priyansh Arya,P Simran Singh,JC Archer,4,0,,,,,,,,,,33/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,2.2,Punjab Kings,Rajasthan Royals,Priyansh Arya,P Simran Singh,JC Archer,0,0,,,,,,,,,,33/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,2.3,Punjab Kings,Rajasthan Royals,Priyansh Arya,P Simran Singh,JC Archer,0,0,,,,,,,,,,33/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,2.4,Punjab Kings,Rajasthan Royals,Priyansh Arya,P Simran Singh,JC Archer,4,0,,,,,,,,,,37/0
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,2.5,Punjab Kings,Rajasthan Royals,Priyansh Arya,P Simran Singh,JC Archer,0,0,,,,,,caught,Priyansh Arya,,,37/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,2.6,Punjab Kings,Rajasthan Royals,C Connolly,P Simran Singh,JC Archer,0,0,,,,,,,,,,37/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,3.1,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,N Burger,0,0,,,,,,,,,,37/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,3.2,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,N Burger,2,0,,,,,,,,,,39/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,3.3,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,N Burger,0,0,,,,,,,,,,39/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,3.4,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,N Burger,4,0,,,,,,,,,,43/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,3.5,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,N Burger,4,0,,,,,,,,,,47/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,3.6,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,N Burger,1,0,,,,,,,,,,48/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,4.1,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,Brijesh Sharma,0,0,,,,,,,,,,48/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,4.2,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,Brijesh Sharma,1,0,,,,,,,,,,49/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,4.3,Punjab Kings,Rajasthan Royals,C Connolly,P Simran Singh,Brijesh Sharma,0,0,,,,,,,,,,49/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,4.4,Punjab Kings,Rajasthan Royals,C Connolly,P Simran Singh,Brijesh Sharma,0,0,,,,,,,,,,49/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,4.5,Punjab Kings,Rajasthan Royals,C Connolly,P Simran Singh,Brijesh Sharma,0,1,1,,,,,,,,,50/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,4.5,Punjab Kings,Rajasthan Royals,C Connolly,P Simran Singh,Brijesh Sharma,1,0,,,,,,,,,,51/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,4.6,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,Brijesh Sharma,1,0,,,,,,,,,,52/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,5.1,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,N Burger,6,0,,,,,,,,,,58/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,5.2,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,N Burger,1,0,,,,,,,,,,59/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,5.3,Punjab Kings,Rajasthan Royals,C Connolly,P Simran Singh,N Burger,1,0,,,,,,,,,,60/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,5.4,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,N Burger,0,0,,,,,,,,,,60/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,5.5,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,N Burger,1,0,,,,,,,,,,61/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,5.6,Punjab Kings,Rajasthan Royals,C Connolly,P Simran Singh,N Burger,4,0,,,,,,,,,,65/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,6.1,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,Yash Raj Punja,1,0,,,,,,,,,,66/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,6.2,Punjab Kings,Rajasthan Royals,C Connolly,P Simran Singh,Yash Raj Punja,6,0,,,,,,,,,,72/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,6.3,Punjab Kings,Rajasthan Royals,C Connolly,P Simran Singh,Yash Raj Punja,6,0,,,,,,,,,,78/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,6.4,Punjab Kings,Rajasthan Royals,C Connolly,P Simran Singh,Yash Raj Punja,1,0,,,,,,,,,,79/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,6.5,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,Yash Raj Punja,1,0,,,,,,,,,,80/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,6.6,Punjab Kings,Rajasthan Royals,C Connolly,P Simran Singh,Yash Raj Punja,0,0,,,,,,,,,,80/1
40,2026,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,7.1,Punjab Kings,Rajasthan Royals,P Simran Singh,C Connolly,RA Jadeja,1,0,,,,,,,,,,81/1
