match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,team_score
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.1,Sunrisers Hyderabad,Kolkata Knight Riders,Abhishek Sharma,TM Head,SP Narine,0,0,,,,,,,,,,0/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.2,Sunrisers Hyderabad,Kolkata Knight Riders,Abhishek Sharma,TM Head,SP Narine,1,0,,,,,,,,,,1/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.3,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Abhishek Sharma,SP Narine,1,0,,,,,,,,,,2/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.4,Sunrisers Hyderabad,Kolkata Knight Riders,Abhishek Sharma,TM Head,SP Narine,6,0,,,,,,,,,,8/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.5,Sunrisers Hyderabad,Kolkata Knight Riders,Abhishek Sharma,TM Head,SP Narine,0,0,,,,,,,,,,8/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.6,Sunrisers Hyderabad,Kolkata Knight Riders,Abhishek Sharma,TM Head,SP Narine,1,0,,,,,,,,,,9/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.1,Sunrisers Hyderabad,Kolkata Knight Riders,Abhishek Sharma,TM Head,VG Arora,1,0,,,,,,,,,,10/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.2,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Abhishek Sharma,VG Arora,4,0,,,,,,,,,,14/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.3,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Abhishek Sharma,VG Arora,0,0,,,,,,,,,,14/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.4,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Abhishek Sharma,VG Arora,4,0,,,,,,,,,,18/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.5,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Abhishek Sharma,VG Arora,4,0,,,,,,,,,,22/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.6,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Abhishek Sharma,VG Arora,4,0,,,,,,,,,,26/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.1,Sunrisers Hyderabad,Kolkata Knight Riders,Abhishek Sharma,TM Head,SP Narine,1,0,,,,,,,,,,27/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.2,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Abhishek Sharma,SP Narine,0,0,,,,,,,,,,27/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.3,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Abhishek Sharma,SP Narine,0,0,,,,,,,,,,27/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.4,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Abhishek Sharma,SP Narine,6,0,,,,,,,,,,33/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.5,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Abhishek Sharma,SP Narine,4,0,,,,,,,,,,37/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.6,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Abhishek Sharma,SP Narine,0,0,,,,,,,,,,37/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.1,Sunrisers Hyderabad,Kolkata Knight Riders,Abhishek Sharma,TM Head,Kartik Tyagi,4,0,,,,,,,,,,41/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.2,Sunrisers Hyderabad,Kolkata Knight Riders,Abhishek Sharma,TM Head,Kartik Tyagi,1,0,,,,,,,,,,42/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.3,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Abhishek Sharma,Kartik Tyagi,0,1,1,,,,,,,,,43/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.3,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Abhishek Sharma,Kartik Tyagi,1,0,,,,,,,,,,44/0
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.4,Sunrisers Hyderabad,Kolkata Knight Riders,Abhishek Sharma,TM Head,Kartik Tyagi,0,0,,,,,,caught,Abhishek Sharma,,,44/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.5,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,TM Head,Kartik Tyagi,0,0,,,,,,,,,,44/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.6,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,TM Head,Kartik Tyagi,1,0,,,,,,,,,,45/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.1,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,TM Head,C Green,0,0,,,,,,,,,,45/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.2,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,TM Head,C Green,1,0,,,,,,,,,,46/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.3,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Ishan Kishan,C Green,4,0,,,,,,,,,,50/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.4,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Ishan Kishan,C Green,4,0,,,,,,,,,,54/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.5,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Ishan Kishan,C Green,4,0,,,,,,,,,,58/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.6,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Ishan Kishan,C Green,1,0,,,,,,,,,,59/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.1,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Ishan Kishan,Kartik Tyagi,0,0,,,,,,,,,,59/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.2,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Ishan Kishan,Kartik Tyagi,1,0,,,,,,,,,,60/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.3,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,TM Head,Kartik Tyagi,6,0,,,,,,,,,,66/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.4,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,TM Head,Kartik Tyagi,4,0,,,,,,,,,,70/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.5,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,TM Head,Kartik Tyagi,1,0,,,,,,,,,,71/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.6,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Ishan Kishan,Kartik Tyagi,0,0,,,,,,,,,,71/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.1,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,TM Head,CV Varun,0,0,,,,,,,,,,71/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.2,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,TM Head,CV Varun,1,0,,,,,,,,,,72/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.3,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Ishan Kishan,CV Varun,4,0,,,,,,,,,,76/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.4,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Ishan Kishan,CV Varun,1,0,,,,,,,,,,77/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.5,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,TM Head,CV Varun,1,0,,,,,,,,,,78/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.6,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Ishan Kishan,CV Varun,6,0,,,,,,,,,,84/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.1,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,TM Head,VG Arora,1,0,,,,,,,,,,85/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.2,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Ishan Kishan,VG Arora,1,0,,,,,,,,,,86/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.3,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,TM Head,VG Arora,1,0,,,,,,,,,,87/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.4,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Ishan Kishan,VG Arora,1,0,,,,,,,,,,88/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.5,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,TM Head,VG Arora,1,0,,,,,,,,,,89/1
45,2026,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.6,Sunrisers Hyderabad,Kolkata Knight Riders,TM Head,Ishan Kishan,VG Arora,0,0,,,,,,,,,,89/1
