match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,team_score
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.1,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,TM Head,Arshdeep Singh,0,0,,,,,,,,,,0/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.2,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,TM Head,Arshdeep Singh,6,0,,,,,,,,,,6/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.3,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,TM Head,Arshdeep Singh,0,0,,,,,,,,,,6/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.4,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,TM Head,Arshdeep Singh,1,0,,,,,,,,,,7/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.5,Sunrisers Hyderabad,Punjab Kings,TM Head,Abhishek Sharma,Arshdeep Singh,0,1,1,,,,,,,,,8/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.5,Sunrisers Hyderabad,Punjab Kings,TM Head,Abhishek Sharma,Arshdeep Singh,1,0,,,,,,,,,,9/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0.6,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,TM Head,Arshdeep Singh,2,0,,,,,,,,,,11/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.1,Sunrisers Hyderabad,Punjab Kings,TM Head,Abhishek Sharma,M Jansen,1,0,,,,,,,,,,12/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.2,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,TM Head,M Jansen,6,0,,,,,,,,,,18/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.3,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,TM Head,M Jansen,4,0,,,,,,,,,,22/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.4,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,TM Head,M Jansen,6,0,,,,,,,,,,28/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.5,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,TM Head,M Jansen,0,0,,,,,,,,,,28/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.6,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,TM Head,M Jansen,4,0,,,,,,,,,,32/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.1,Sunrisers Hyderabad,Punjab Kings,TM Head,Abhishek Sharma,Arshdeep Singh,0,0,,,,,,,,,,32/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.2,Sunrisers Hyderabad,Punjab Kings,TM Head,Abhishek Sharma,Arshdeep Singh,0,0,,,,,,,,,,32/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.3,Sunrisers Hyderabad,Punjab Kings,TM Head,Abhishek Sharma,Arshdeep Singh,6,0,,,,,,,,,,38/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.4,Sunrisers Hyderabad,Punjab Kings,TM Head,Abhishek Sharma,Arshdeep Singh,6,0,,,,,,,,,,44/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.5,Sunrisers Hyderabad,Punjab Kings,TM Head,Abhishek Sharma,Arshdeep Singh,0,0,,,,,,,,,,44/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2.6,Sunrisers Hyderabad,Punjab Kings,TM Head,Abhishek Sharma,Arshdeep Singh,4,0,,,,,,,,,,48/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.1,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,TM Head,LH Ferguson,0,0,,,,,,,,,,48/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.2,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,TM Head,LH Ferguson,6,0,,,,,,,,,,54/0
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.3,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,TM Head,LH Ferguson,0,0,,,,,,caught,Abhishek Sharma,,,54/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.4,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,TM Head,LH Ferguson,0,0,,,,,,,,,,54/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.5,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,TM Head,LH Ferguson,0,0,,,,,,,,,,54/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3.6,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,TM Head,LH Ferguson,0,0,,,,,,,,,,54/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.1,Sunrisers Hyderabad,Punjab Kings,TM Head,Ishan Kishan,M Jansen,0,0,,,,,,,,,,54/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.2,Sunrisers Hyderabad,Punjab Kings,TM Head,Ishan Kishan,M Jansen,0,1,1,,,,,,,,,55/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.2,Sunrisers Hyderabad,Punjab Kings,TM Head,Ishan Kishan,M Jansen,4,0,,,,,,,,,,59/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.3,Sunrisers Hyderabad,Punjab Kings,TM Head,Ishan Kishan,M Jansen,4,0,,,,,,,,,,63/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.4,Sunrisers Hyderabad,Punjab Kings,TM Head,Ishan Kishan,M Jansen,1,0,,,,,,,,,,64/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.5,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,TM Head,M Jansen,1,0,,,,,,,,,,65/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,4.6,Sunrisers Hyderabad,Punjab Kings,TM Head,Ishan Kishan,M Jansen,0,0,,,,,,,,,,65/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.1,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,TM Head,LH Ferguson,1,0,,,,,,,,,,66/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.2,Sunrisers Hyderabad,Punjab Kings,TM Head,Ishan Kishan,LH Ferguson,6,0,,,,,,,,,,72/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.3,Sunrisers Hyderabad,Punjab Kings,TM Head,Ishan Kishan,LH Ferguson,1,0,,,,,,,,,,73/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.4,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,TM Head,LH Ferguson,4,0,,,,,,,,,,77/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.5,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,TM Head,LH Ferguson,1,0,,,,,,,,,,78/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.6,Sunrisers Hyderabad,Punjab Kings,TM Head,Ishan Kishan,LH Ferguson,1,0,,,,,,,,,,79/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.1,Sunrisers Hyderabad,Punjab Kings,TM Head,Ishan Kishan,YS Chahal,2,0,,,,,,,,,,81/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.2,Sunrisers Hyderabad,Punjab Kings,TM Head,Ishan Kishan,YS Chahal,1,0,,,,,,,,,,82/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.3,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,TM Head,YS Chahal,1,0,,,,,,,,,,83/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.4,Sunrisers Hyderabad,Punjab Kings,TM Head,Ishan Kishan,YS Chahal,0,1,1,,,,,,,,,84/1
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.4,Sunrisers Hyderabad,Punjab Kings,TM Head,Ishan Kishan,YS Chahal,0,0,,,,,,caught,TM Head,,,84/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.5,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,YS Chahal,1,0,,,,,,,,,,85/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.6,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,YS Chahal,1,0,,,,,,,,,,86/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.1,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,LH Ferguson,1,0,,,,,,,,,,87/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.2,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,LH Ferguson,0,0,,,,,,,,,,87/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.3,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,LH Ferguson,0,0,,,,,,,,,,87/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.4,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,LH Ferguson,1,0,,,,,,,,,,88/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.5,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,LH Ferguson,0,0,,,,,,,,,,88/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.6,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,LH Ferguson,6,0,,,,,,,,,,94/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,8.1,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,YS Chahal,6,0,,,,,,,,,,100/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,8.2,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,YS Chahal,1,0,,,,,,,,,,101/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,8.3,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,YS Chahal,1,0,,,,,,,,,,102/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,8.4,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,YS Chahal,4,0,,,,,,,,,,106/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,8.5,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,YS Chahal,0,0,,,,,,,,,,106/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,8.6,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,YS Chahal,1,0,,,,,,,,,,107/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,9.1,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,Vijaykumar Vyshak,2,0,,,,,,,,,,109/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,9.2,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,Vijaykumar Vyshak,4,0,,,,,,,,,,113/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,9.3,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,Vijaykumar Vyshak,1,0,,,,,,,,,,114/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,9.4,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,Vijaykumar Vyshak,1,0,,,,,,,,,,115/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,9.5,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,Vijaykumar Vyshak,2,0,,,,,,,,,,117/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,9.6,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,Vijaykumar Vyshak,1,0,,,,,,,,,,118/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,10.1,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,YS Chahal,1,0,,,,,,,,,,119/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,10.2,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,YS Chahal,1,0,,,,,,,,,,120/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,10.3,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,YS Chahal,1,0,,,,,,,,,,121/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,10.4,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,YS Chahal,1,0,,,,,,,,,,122/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,10.5,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,YS Chahal,0,1,,,1,,,,,,,123/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,10.6,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,YS Chahal,0,1,,,1,,,,,,,124/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,11.1,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,Vijaykumar Vyshak,4,0,,,,,,,,,,128/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,11.2,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,Vijaykumar Vyshak,2,0,,,,,,,,,,130/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,11.3,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,Vijaykumar Vyshak,1,0,,,,,,,,,,131/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,11.4,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,Vijaykumar Vyshak,1,0,,,,,,,,,,132/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,11.5,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,Vijaykumar Vyshak,1,0,,,,,,,,,,133/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,11.6,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,Vijaykumar Vyshak,1,0,,,,,,,,,,134/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,12.1,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,M Jansen,1,0,,,,,,,,,,135/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,12.2,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,M Jansen,2,0,,,,,,,,,,137/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,12.3,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,M Jansen,0,1,1,,,,,,,,,138/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,12.3,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,M Jansen,1,0,,,,,,,,,,139/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,12.4,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,M Jansen,0,1,,,,1,,,,,,140/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,12.5,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,M Jansen,1,0,,,,,,,,,,141/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,12.6,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,M Jansen,6,0,,,,,,,,,,147/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,13.1,Sunrisers Hyderabad,Punjab Kings,Ishan Kishan,H Klaasen,Vijaykumar Vyshak,1,0,,,,,,,,,,148/2
49,2026,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,13.2,Sunrisers Hyderabad,Punjab Kings,H Klaasen,Ishan Kishan,Vijaykumar Vyshak,0,1,,,,1,,,,,,149/2
