match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,team_score
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,0.1,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,AS Roy,0,0,,,,,,,,,,0/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,0.2,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,AS Roy,4,0,,,,,,,,,,4/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,0.3,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,AS Roy,1,0,,,,,,,,,,5/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,0.4,Delhi Capitals,Kolkata Knight Riders,KL Rahul,P Nissanka,AS Roy,0,0,,,,,,,,,,5/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,0.5,Delhi Capitals,Kolkata Knight Riders,KL Rahul,P Nissanka,AS Roy,1,0,,,,,,,,,,6/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,0.6,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,AS Roy,1,0,,,,,,,,,,7/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,1.1,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,VG Arora,0,0,,,,,,,,,,7/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,1.2,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,VG Arora,1,0,,,,,,,,,,8/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,1.3,Delhi Capitals,Kolkata Knight Riders,KL Rahul,P Nissanka,VG Arora,1,0,,,,,,,,,,9/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,1.4,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,VG Arora,6,0,,,,,,,,,,15/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,1.5,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,VG Arora,1,0,,,,,,,,,,16/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,1.6,Delhi Capitals,Kolkata Knight Riders,KL Rahul,P Nissanka,VG Arora,1,0,,,,,,,,,,17/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,2.1,Delhi Capitals,Kolkata Knight Riders,KL Rahul,P Nissanka,AS Roy,0,0,,,,,,,,,,17/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,2.2,Delhi Capitals,Kolkata Knight Riders,KL Rahul,P Nissanka,AS Roy,4,0,,,,,,,,,,21/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,2.3,Delhi Capitals,Kolkata Knight Riders,KL Rahul,P Nissanka,AS Roy,1,0,,,,,,,,,,22/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,2.4,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,AS Roy,0,0,,,,,,,,,,22/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,2.5,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,AS Roy,0,0,,,,,,,,,,22/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,2.6,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,AS Roy,6,0,,,,,,,,,,28/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,3.1,Delhi Capitals,Kolkata Knight Riders,KL Rahul,P Nissanka,SP Narine,1,0,,,,,,,,,,29/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,3.2,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,SP Narine,4,0,,,,,,,,,,33/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,3.3,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,SP Narine,0,0,,,,,,,,,,33/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,3.4,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,SP Narine,1,0,,,,,,,,,,34/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,3.5,Delhi Capitals,Kolkata Knight Riders,KL Rahul,P Nissanka,SP Narine,4,0,,,,,,,,,,38/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,3.6,Delhi Capitals,Kolkata Knight Riders,KL Rahul,P Nissanka,SP Narine,1,0,,,,,,,,,,39/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,4.1,Delhi Capitals,Kolkata Knight Riders,KL Rahul,P Nissanka,Kartik Tyagi,4,0,,,,,,,,,,43/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,4.2,Delhi Capitals,Kolkata Knight Riders,KL Rahul,P Nissanka,Kartik Tyagi,1,0,,,,,,,,,,44/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,4.3,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,Kartik Tyagi,0,0,,,,,,,,,,44/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,4.4,Delhi Capitals,Kolkata Knight Riders,P Nissanka,KL Rahul,Kartik Tyagi,1,0,,,,,,,,,,45/0
51,2026,2026-05-08,"Arun Jaitley Stadium, Delhi",1,4.5,Delhi Capitals,Kolkata Knight Riders,KL Rahul,P Nissanka,Kartik Tyagi,4,0,,,,,,,,,,49/0
